residual sugar,chlorides,quality
2.6,0.084,bad
1.7,0.07,bad
2.6,0.084,bad
3.5,0.094,bad
2.6,0.096,bad
7.9,0.086,bad
2,0.059,bad
1.9,0.071,bad
2.1,0.078,bad
2.3,0.082,bad
2.1,0.088,bad
2.2,0.071,bad
2.6,0.081,bad
2.2,0.071,bad
2.9,0.096,bad
2.6,0.085,bad
4.6,0.072,good
3.3,0.092,bad
5.1,0.11,bad
3.2,0.075,bad
2.5,0.083,bad
2.7,0.081,bad
2.4,0.077,bad
1.5,0.058,bad
2.2,0.148,bad
2.3,0.079,bad
2.3,0.079,bad
2.2,0.079,bad
2.7,0.122,bad
2.3,0.088,bad
3.4,0.076,bad
3.4,0.078,bad
1.9,0.08,bad
2.9,0.077,bad
5.6,0.124,bad
5.6,0.124,bad
2.2,0.098,bad
2.2,0.098,bad
2.5,0.097,bad
2.3,0.111,bad
2.5,0.097,bad
2.7,0.105,bad
3,0.087,bad
3.4,0.105,bad
1.9,0.073,bad
1.4,0.065,bad
2.4,0.086,bad
2.3,0.084,bad
2.2,0.143,good
1.9,0.067,bad
2.3,0.071,bad
2.3,0.071,bad
2.3,0.071,bad
2.3,0.071,bad
2.3,0.071,bad
6,0.115,good
3.6,0.107,bad
2.2,0.07,bad
2.8,0.066,good
8.6,0.068,bad
2.2,0.106,bad
2.5,0.104,bad
7.5,0.096,bad
2.8,0.079,bad
2.4,0.074,bad
2.9,0.087,bad
2.2,0.106,bad
1.4,0.073,good
1.4,0.074,bad
4.4,0.096,bad
1.4,0.074,bad
1.6,0.08,bad
1.6,0.076,bad
1.8,0.05,bad
2,0.092,bad
2,0.084,bad
1.8,0.222,bad
2,0.082,bad
2.3,0.059,bad
2,0.082,bad
2.5,0.083,bad
1.7,0.074,bad
2,0.079,bad
1.7,0.074,bad
2.2,0.084,bad
2.2,0.064,bad
2.2,0.084,bad
2.3,0.084,bad
2.6,0.081,bad
3.3,0.06,bad
1.9,0.07,bad
2.2,0.094,bad
2.25,0.078,bad
2.6,0.059,bad
2.3,0.078,bad
2.6,0.059,bad
1.8,0.07,bad
3.1,0.095,bad
1.6,0.039,bad
1.8,0.157,bad
4.25,0.097,bad
2.6,0.087,bad
2,0.422,bad
2.8,0.084,bad
2.7,0.084,bad
1.3,0.034,bad
2.1,0.066,bad
2.1,0.066,bad
3.2,0.087,bad
2.1,0.071,bad
2.9,0.076,bad
2.1,0.066,bad
2.1,0.067,bad
2.6,0.073,bad
1.6,0.078,bad
6,0.073,bad
2,0.093,bad
3,0.077,bad
2.5,0.068,bad
1.6,0.062,bad
2.8,0.08,bad
3,0.093,bad
3.2,0.084,bad
2.3,0.075,bad
2.6,0.078,bad
2.7,0.069,bad
2.3,0.075,bad
2.6,0.079,bad
2,0.082,bad
3.9,0.086,bad
2,0.082,bad
2.85,0.094,bad
2.7,0.084,bad
2.2,0.053,bad
3.1,0.086,bad
3,0.077,bad
2.8,0.084,bad
1.8,0.067,bad
1.8,0.067,bad
3.2,0.071,bad
2.3,0.387,bad
3.45,0.088,bad
2.1,0.092,bad
2.7,0.082,bad
2,0.075,bad
2.1,0.112,bad
2.1,0.112,bad
2.5,0.093,bad
2.8,0.092,bad
2.4,0.088,bad
4.2,0.075,bad
2.6,0.078,bad
1.9,0.065,bad
2.8,0.096,bad
2.7,0.095,bad
2.1,0.07,bad
2.5,0.08,bad
2.6,0.083,bad
2.1,0.071,bad
2.1,0.07,bad
2.9,0.089,bad
2.9,0.089,bad
2.5,0.097,bad
2.9,0.089,bad
1.7,0.415,bad
1.9,0.058,bad
2,0.057,bad
2.2,0.084,bad
2.2,0.084,bad
2.5,0.092,bad
2.8,0.075,bad
2,0.096,bad
1.7,0.069,bad
2,0.096,bad
2.8,0.093,bad
3,0.091,bad
2.9,0.089,bad
2.7,0.103,bad
2.3,0.082,bad
1.9,0.076,bad
2.3,0.082,bad
2.4,0.082,bad
2.3,0.082,bad
1.8,0.157,bad
1.8,0.157,bad
3,0.102,bad
2.4,0.243,bad
2.4,0.241,bad
3.4,0.079,bad
2.6,0.076,bad
2,0.19,bad
2.4,0.114,bad
2.4,0.081,bad
2.4,0.114,bad
2.5,0.077,bad
2.3,0.083,bad
2.3,0.083,bad
2.2,0.079,bad
2.2,0.079,bad
2.9,0.099,bad
2.6,0.082,bad
2.9,0.084,bad
2.5,0.081,bad
2.6,0.055,bad
2.3,0.065,bad
2.6,0.132,bad
2.5,0.126,bad
1.6,0.038,good
3.6,0.082,bad
3.6,0.082,bad
4,0.082,bad
3.3,0.068,bad
1.7,0.044,good
2.5,0.114,bad
2.7,0.084,bad
2.4,0.052,good
2,0.041,good
2.4,0.052,good
1.9,0.165,bad
2.8,0.07,bad
2.6,0.068,bad
2.8,0.072,bad
2.5,0.099,bad
2.1,0.102,bad
2.8,0.103,bad
2.5,0.099,bad
3.2,0.081,bad
1.6,0.084,bad
2.35,0.071,bad
3.2,0.097,bad
1.9,0.099,bad
2.1,0.048,good
2,0.076,bad
2,0.076,bad
2.8,0.068,bad
2.8,0.076,bad
2.3,0.05,good
2.8,0.076,bad
2.3,0.065,good
2.1,0.071,bad
2.5,0.058,bad
2.1,0.071,bad
1.5,0.145,bad
1.6,0.147,bad
1.6,0.088,bad
1.5,0.066,bad
2.4,0.012,good
2.4,0.012,good
1.6,0.075,good
2.2,0.092,bad
2.65,0.085,good
3,0.115,bad
2.6,0.119,bad
2,0.088,bad
1.7,0.062,bad
1.8,0.081,bad
1.8,0.081,bad
1.8,0.078,bad
1.8,0.081,bad
1.6,0.08,bad
1.9,0.085,bad
1.9,0.085,bad
2.5,0.08,bad
1.5,0.08,bad
1.5,0.08,bad
2.5,0.071,good
1.5,0.08,bad
2.5,0.073,good
1.7,0.054,good
1.8,0.074,bad
2.7,0.077,bad
2,0.039,bad
2.7,0.067,bad
2.5,0.078,bad
2.7,0.077,bad
2.6,0.077,bad
2.3,0.071,bad
2,0.072,bad
1.8,0.074,bad
2,0.08,bad
2.1,0.064,bad
1.5,0.086,bad
2,0.067,bad
1.6,0.067,good
2.1,0.104,good
2.8,0.109,good
2.2,0.067,bad
2.1,0.064,bad
4,0.094,bad
2.5,0.076,bad
1.6,0.078,bad
2.1,0.068,bad
3.1,0.194,bad
2.5,0.076,bad
4,0.094,bad
2.5,0.086,bad
2.4,0.083,bad
2.6,0.066,good
2.5,0.072,bad
6.6,0.112,bad
2,0.071,bad
2.3,0.078,bad
1.9,0.082,bad
2.3,0.078,bad
2.2,0.08,bad
2.3,0.08,bad
2.4,0.078,good
2.3,0.08,bad
2.4,0.078,good
3.4,0.084,bad
2.6,0.056,bad
2.4,0.08,good
2.4,0.08,good
6,0.06,good
6,0.06,good
3,0.081,bad
2.6,0.084,bad
2.2,0.079,bad
2.4,0.078,bad
1.2,0.059,bad
3.8,0.132,bad
9,0.114,bad
2.9,0.065,bad
4.6,0.094,good
1.2,0.059,bad
2.2,0.079,bad
1.5,0.161,bad
8.8,0.084,bad
2.2,0.081,bad
1.8,0.072,bad
2.3,0.091,bad
2.2,0.081,bad
1.8,0.072,bad
8.8,0.084,bad
2.3,0.055,bad
1.9,0.064,good
2.3,0.061,bad
2.2,0.093,bad
2.3,0.055,bad
3.3,0.063,good
1.9,0.08,bad
2,0.074,bad
1.9,0.078,bad
2,0.074,bad
1.9,0.08,bad
2.3,0.06,bad
2.3,0.06,bad
1.4,0.071,bad
2.8,0.068,good
1.6,0.073,bad
2.2,0.074,good
5,0.082,good
2.6,0.092,good
2.3,0.094,good
3.8,0.09,good
2,0.071,good
4.1,0.092,good
2.1,0.093,good
1.8,0.075,good
1.8,0.075,good
1.8,0.075,good
2.1,0.093,good
2.2,0.058,good
2.1,0.052,good
2.7,0.082,bad
1.9,0.09,bad
2.1,0.111,bad
2,0.088,bad
2.3,0.12,good
2,0.089,bad
1.9,0.058,bad
1.6,0.078,bad
2.1,0.115,bad
2,0.1,bad
1.9,0.058,bad
2.4,0.065,bad
2.4,0.103,good
2.1,0.097,bad
2.4,0.068,bad
2.9,0.079,bad
1.9,0.066,bad
1.9,0.066,bad
2.4,0.104,good
1.7,0.079,bad
5.9,0.073,good
2.1,0.083,bad
2.1,0.083,bad
2.6,0.109,bad
3.6,0.061,good
1.4,0.075,bad
1.9,0.065,bad
1.9,0.079,bad
2.1,0.07,bad
1.9,0.065,bad
1.4,0.075,bad
2,0.064,bad
1.4,0.066,good
1.6,0.08,bad
1.7,0.097,bad
1.5,0.073,bad
1.7,0.097,bad
2,0.082,bad
2,0.076,bad
2,0.082,bad
2.5,0.092,bad
2,0.079,bad
2.2,0.087,good
2.2,0.087,good
1.4,0.05,bad
1.65,0.055,bad
2.2,0.062,good
1.5,0.058,good
2.05,0.063,good
1.8,0.067,good
1.6,0.081,bad
1.8,0.067,good
2.05,0.063,good
2,0.064,good
3.6,0.11,good
2.8,0.116,bad
1.7,0.067,good
2,0.088,bad
2.1,0.102,bad
1.6,0.092,bad
2,0.12,bad
2.2,0.075,bad
2.2,0.068,good
0.9,0.049,bad
0.9,0.049,bad
1.8,0.078,bad
2.4,0.123,bad
2.4,0.123,bad
2.1,0.062,bad
2.3,0.098,bad
1.8,0.088,good
2.8,0.095,bad
1.9,0.066,bad
2.2,0.065,bad
2.5,0.075,bad
1.8,0.088,good
2.1,0.091,good
1.8,0.093,good
4.1,0.095,bad
2.6,0.089,bad
2.5,0.077,bad
2.4,0.085,good
2.5,0.082,good
1.8,0.074,bad
6.2,0.078,good
2.2,0.088,bad
2.2,0.088,bad
1.7,0.079,bad
2.2,0.088,bad
8.9,0.069,good
3.3,0.046,bad
1.4,0.07,bad
1.7,0.076,bad
1.8,0.082,bad
1.7,0.081,bad
1.8,0.084,bad
1.8,0.082,bad
1.4,0.414,bad
2.4,0.073,bad
2.3,0.07,good
2,0.095,bad
2,0.095,bad
4,0.101,good
3.9,0.104,bad
2.4,0.093,good
4,0.101,good
1.8,0.074,bad
1.8,0.071,good
1.9,0.098,bad
2.4,0.075,bad
2,0.067,bad
2.4,0.083,bad
2.4,0.07,good
2.2,0.06,good
2.2,0.06,good
2.8,0.086,bad
1.5,0.057,good
8.1,0.098,bad
1.8,0.083,bad
2.7,0.088,bad
8.1,0.098,bad
2,0.071,good
2,0.073,bad
6.4,0.08,bad
6.4,0.08,bad
8.3,0.05,good
1.4,0.047,bad
8.3,0.05,good
1.8,0.073,bad
2.4,0.072,bad
1.8,0.073,bad
1.8,0.074,bad
4.7,0.055,good
1.6,0.057,bad
1.5,0.095,good
1.5,0.095,good
1.9,0.083,good
2,0.086,bad
2,0.081,bad
2.2,0.079,good
5.5,0.117,bad
2.5,0.087,bad
5.5,0.117,bad
1.5,0.096,bad
2.1,0.216,good
1.5,0.096,bad
2.1,0.072,bad
2.1,0.071,bad
1.7,0.078,bad
2.1,0.071,bad
2.2,0.073,bad
2.1,0.048,bad
1.9,0.069,bad
2,0.068,good
3.3,0.09,bad
2.1,0.171,bad
1.4,0.07,bad
2,0.092,good
1.5,0.056,bad
1.6,0.074,bad
4.3,0.046,bad
2.5,0.091,bad
2.5,0.091,bad
2.5,0.091,bad
2.1,0.065,bad
2.5,0.066,bad
2.5,0.076,good
1.8,0.062,bad
1.4,0.055,bad
1.9,0.081,bad
2.2,0.096,bad
1.7,0.055,good
1.7,0.063,bad
2.9,0.072,bad
2.7,0.095,bad
3.3,0.092,bad
1.9,0.058,bad
1.7,0.045,bad
1.8,0.075,good
5.5,0.089,good
1.7,0.061,good
1.7,0.067,bad
2,0.08,bad
2,0.08,bad
3.7,0.104,bad
2,0.079,bad
1.7,0.08,bad
2.5,0.08,bad
2.4,0.043,bad
1.8,0.065,bad
2.3,0.066,bad
2.5,0.076,bad
1.8,0.178,bad
6.2,0.071,good
2,0.086,bad
2,0.061,bad
2.8,0.067,good
2.5,0.044,bad
2.2,0.118,bad
2.1,0.083,bad
2.2,0.1,bad
2.2,0.118,bad
1.75,0.071,good
2.1,0.042,good
2.8,0.076,bad
2.2,0.11,bad
2.3,0.087,good
1.4,0.076,bad
2.3,0.075,good
1.7,0.078,bad
1.7,0.078,bad
1.9,0.369,bad
2,0.111,bad
2.5,0.074,good
2.8,0.067,bad
2.3,0.086,bad
1.6,0.062,bad
2.2,0.078,bad
2.1,0.074,bad
1.7,0.079,bad
1.7,0.079,bad
2.2,0.095,bad
5.6,0.079,bad
2.4,0.052,good
2.1,0.041,bad
2.4,0.076,bad
2.4,0.076,bad
1.65,0.068,bad
2.5,0.068,bad
1.6,0.07,bad
2.1,0.08,bad
2,0.085,bad
7.8,0.079,bad
2,0.085,bad
2.1,0.08,bad
1.8,0.075,bad
4.6,0.08,bad
2.3,0.166,bad
2.5,0.063,good
2.3,0.166,bad
1.8,0.114,bad
1.8,0.078,bad
2.3,0.076,bad
1.5,0.069,bad
2,0.052,bad
2.3,0.076,bad
1.5,0.069,bad
1.9,0.065,good
1.8,0.068,good
5.8,0.111,bad
2.1,0.074,good
2.1,0.074,good
2.1,0.074,good
1.7,0.136,bad
2.1,0.074,good
2,0.071,good
2.1,0.078,bad
2.1,0.076,bad
2.1,0.078,bad
1.9,0.071,bad
1.9,0.081,bad
2.1,0.095,bad
2,0.079,bad
1.9,0.057,bad
1.9,0.082,bad
1.3,0.044,bad
1.8,0.132,bad
1.8,0.132,bad
2.2,0.078,bad
2.2,0.074,bad
2.5,0.08,bad
2.6,0.091,bad
4.1,0.08,bad
2,0.104,bad
1.8,0.044,good
2.1,0.075,bad
2.7,0.066,bad
2.6,0.074,bad
2.1,0.075,bad
2.2,0.057,bad
2.2,0.059,bad
12.9,0.054,bad
1.7,0.07,bad
2.2,0.059,bad
2.5,0.081,bad
4.3,0.057,bad
1.7,0.076,bad
2.5,0.079,bad
2,0.058,bad
2.4,0.082,bad
13.4,0.067,bad
1.8,0.082,bad
1.7,0.086,bad
1.8,0.082,bad
2.2,0.081,bad
2.3,0.079,bad
2.3,0.079,bad
2.2,0.077,bad
1.8,0.123,bad
1.4,0.096,bad
1.9,0.079,bad
2.4,0.069,bad
1.8,0.082,bad
4.8,0.085,bad
2.7,0.123,bad
2.7,0.123,bad
1.8,0.403,bad
2,0.083,bad
2.5,0.081,bad
2.2,0.089,bad
1.8,0.066,bad
2.3,0.081,bad
2.3,0.081,bad
2.3,0.068,bad
2,0.079,bad
1.8,0.044,good
1.6,0.048,bad
1.6,0.049,bad
1.9,0.077,bad
2,0.073,bad
2.1,0.102,bad
2.3,0.075,bad
6.3,0.05,bad
1.9,0.114,bad
2.3,0.075,bad
1.7,0.062,good
1.9,0.077,bad
1.9,0.077,bad
2,0.084,bad
2.7,0.096,bad
2.3,0.071,bad
1.8,0.09,bad
2.5,0.068,bad
2.6,0.056,bad
4.5,0.068,bad
4.5,0.068,bad
1.9,0.1,bad
2.1,0.073,bad
2.4,0.056,bad
1.9,0.084,bad
2.1,0.073,bad
4.3,0.093,bad
4.3,0.093,bad
2.1,0.064,bad
1.4,0.063,bad
2.1,0.137,bad
2.15,0.08,bad
2,0.1,bad
2.1,0.064,bad
1.8,0.081,bad
2.3,0.087,bad
1.9,0.073,bad
2.5,0.088,bad
3.9,0.068,bad
2.5,0.088,bad
1.4,0.071,bad
1.9,0.073,bad
3,0.064,bad
1.9,0.083,bad
2.3,0.086,bad
2.4,0.086,bad
2,0.083,bad
1.2,0.041,bad
