fixed acidity,volatile acidity,citric acid,pH,quality
9.7,0.32,0.54,3.28,bad
8.8,0.41,0.64,3.54,bad
8.8,0.41,0.64,3.54,bad
6.8,0.785,0,3.52,bad
6.7,0.75,0.12,3.38,bad
8.3,0.625,0.2,3.16,bad
6.2,0.45,0.2,3.41,bad
7.8,0.43,0.7,3.13,bad
7.4,0.5,0.47,3.36,bad
7.3,0.67,0.26,3.16,bad
6.3,0.3,0.48,3.44,bad
6.9,0.55,0.15,3.41,bad
8.6,0.49,0.28,2.93,bad
7.7,0.49,0.26,3.39,bad
9.3,0.39,0.44,3.14,bad
7,0.62,0.08,3.48,bad
7.9,0.52,0.26,3.23,bad
8.6,0.49,0.28,2.93,bad
8.6,0.49,0.29,2.93,bad
7.7,0.49,0.26,3.39,bad
5,1.02,0.04,3.75,bad
4.7,0.6,0.17,3.85,bad
6.8,0.775,0,3.45,bad
7,0.5,0.25,3.25,bad
7.6,0.9,0.06,3.39,bad
8.1,0.545,0.18,3.3,bad
8.3,0.61,0.3,3.4,bad
7.8,0.5,0.3,3.31,bad
8.1,0.545,0.18,3.3,bad
8.1,0.575,0.22,3.29,bad
7.2,0.49,0.24,3.33,bad
8.1,0.575,0.22,3.29,bad
7.8,0.41,0.68,3.08,bad
6.2,0.63,0.31,3.46,bad
8,0.33,0.53,3.37,bad
8.1,0.785,0.52,3.21,bad
7.8,0.56,0.19,3.19,bad
8.4,0.62,0.09,3.15,bad
8.4,0.6,0.1,3.15,bad
10.1,0.31,0.44,3.32,bad
7.8,0.56,0.19,3.19,bad
9.4,0.4,0.31,3.07,bad
8.3,0.54,0.28,3.39,bad
7.8,0.56,0.12,3.37,bad
8.8,0.55,0.04,3.21,bad
7,0.69,0.08,3.34,bad
7.3,1.07,0.09,3.3,bad
8.8,0.55,0.04,3.21,bad
7.3,0.695,0,3.49,bad
8,0.71,0,3.44,bad
7.8,0.5,0.17,3.39,bad
9,0.62,0.04,3.16,bad
8.2,1.33,0,3.53,bad
8.1,1.33,0,3.54,bad
8,0.59,0.16,3.42,good
6.1,0.38,0.15,3.42,bad
8,0.745,0.56,3.24,bad
5.6,0.5,0.09,3.63,bad
5.6,0.5,0.09,3.63,bad
6.6,0.5,0.01,3.4,bad
7.9,1.04,0.05,3.22,bad
8.4,0.745,0.11,3.19,bad
8.3,0.715,0.15,3.23,bad
7.2,0.415,0.36,3.48,bad
7.8,0.56,0.19,3.33,bad
7.8,0.56,0.19,3.32,bad
8.4,0.745,0.11,3.19,bad
8.3,0.715,0.15,3.23,bad
5.2,0.34,0,3.68,bad
6.3,0.39,0.08,3.34,bad
5.2,0.34,0,3.68,bad
8.1,0.67,0.55,3.17,bad
5.8,0.68,0.02,3.54,bad
7.6,0.49,0.26,3.11,bad
6.9,0.49,0.1,3.42,bad
8.2,0.4,0.44,3.53,bad
7.3,0.33,0.47,3.33,bad
9.2,0.52,1,2.74,bad
7.5,0.6,0.03,3.35,bad
7.5,0.6,0.03,3.35,bad
7.1,0.43,0.42,3.42,bad
7.1,0.43,0.42,3.42,bad
7.1,0.43,0.42,3.42,bad
7.1,0.43,0.42,3.42,bad
7.1,0.68,0,3.48,bad
6.8,0.6,0.18,3.59,bad
7.6,0.95,0.03,3.2,bad
7.6,0.68,0.02,3.17,bad
7.8,0.53,0.04,3.33,bad
7.4,0.6,0.26,3.37,bad
7.3,0.59,0.26,3.37,bad
7.8,0.63,0.48,3.19,bad
6.8,0.64,0.1,3.34,bad
7.3,0.55,0.03,3.37,bad
6.8,0.63,0.07,3.47,bad
7.5,0.705,0.24,3,bad
7.9,0.885,0.03,3.36,bad
8,0.42,0.17,3.29,bad
8,0.42,0.17,3.29,bad
7.4,0.62,0.05,3.42,bad
7.3,0.38,0.21,3.33,bad
6.9,0.5,0.04,3.35,bad
7.3,0.38,0.21,3.33,bad
7.5,0.52,0.42,3.58,bad
7,0.805,0,3.48,bad
8.8,0.61,0.14,3.19,bad
8.8,0.61,0.14,3.19,bad
8.9,0.61,0.49,3.12,bad
7.2,0.73,0.02,3.44,bad
6.8,0.61,0.2,3.54,bad
6.7,0.62,0.21,3.52,bad
8.9,0.31,0.57,3.26,bad
7.4,0.39,0.48,3.34,bad
7.7,0.705,0.1,3.39,bad
7.9,0.5,0.33,3.2,bad
7.9,0.49,0.32,3.2,bad
8.2,0.5,0.35,3.23,bad
6.4,0.37,0.25,3.57,bad
6.8,0.63,0.12,3.28,bad
7.6,0.55,0.21,3.28,bad
7.6,0.55,0.21,3.28,bad
7.8,0.59,0.33,3.25,bad
7.3,0.58,0.3,3.46,bad
11.5,0.3,0.6,3.11,bad
5.4,0.835,0.08,3.57,good
6.9,1.09,0.06,3.51,bad
9.6,0.32,0.47,3.22,good
8.8,0.37,0.48,3.04,bad
6.8,0.5,0.11,3.36,bad
7,0.42,0.35,3.34,bad
7,0.43,0.36,3.34,bad
12.8,0.3,0.74,3.2,good
12.8,0.3,0.74,3.2,good
7.8,0.57,0.31,3.29,bad
7.8,0.44,0.28,3.22,bad
11,0.3,0.58,3.31,good
9.7,0.53,0.6,3.3,bad
8,0.725,0.24,3.35,bad
11.6,0.44,0.64,3.21,bad
8.2,0.57,0.26,3.3,bad
7.8,0.735,0.08,3.24,bad
7,0.49,0.49,3.34,bad
8.7,0.625,0.16,3.14,bad
8.1,0.725,0.22,3.36,bad
7.5,0.49,0.19,3.39,bad
7.8,0.53,0.33,3.3,bad
7.8,0.34,0.37,3.34,bad
7.4,0.53,0.26,3.15,bad
6.8,0.61,0.04,3.42,bad
8.6,0.645,0.25,3.28,bad
8.4,0.635,0.36,3.31,bad
7.7,0.43,0.25,3.37,bad
8.9,0.59,0.5,3.04,bad
9,0.82,0.14,3.39,bad
7.7,0.43,0.25,3.37,bad
6.9,0.52,0.25,3.46,bad
5.2,0.48,0.04,3.54,good
8,0.38,0.06,3.37,bad
8.5,0.37,0.2,3.34,bad
6.9,0.52,0.25,3.46,bad
8.2,1,0.09,3.32,bad
7.2,0.63,0,3.37,bad
7.2,0.63,0,3.37,bad
7.2,0.645,0,3.37,bad
7.2,0.63,0,3.37,bad
8.2,1,0.09,3.32,bad
8.9,0.635,0.37,3,bad
12,0.38,0.56,3.14,bad
7.7,0.58,0.1,3.08,bad
15,0.21,0.44,3.07,good
15,0.21,0.44,3.07,good
7.3,0.66,0,3.61,bad
7.1,0.68,0.07,3.38,bad
8.2,0.6,0.17,3.2,bad
7.7,0.53,0.06,3.35,bad
7.3,0.66,0,3.61,bad
10.8,0.32,0.44,3.22,bad
7.1,0.6,0,3.47,bad
11.1,0.35,0.48,3.17,bad
7.7,0.775,0.42,3.23,bad
7.1,0.6,0,3.47,bad
8,0.57,0.23,3.26,bad
9.4,0.34,0.37,3.22,bad
6.6,0.695,0,3.49,bad
7.7,0.41,0.76,3.06,bad
10,0.31,0.47,3.36,good
7.9,0.33,0.23,3.29,bad
7,0.975,0.04,3.35,bad
8,0.52,0.03,3.34,bad
7.9,0.37,0.23,3.28,bad
12.5,0.56,0.49,3.08,bad
11.8,0.26,0.52,3.2,good
8.1,0.87,0,3.6,bad
7.9,0.35,0.46,3.35,good
6.9,0.54,0.04,3.69,bad
11.5,0.18,0.51,3.28,bad
7.9,0.545,0.06,3.36,bad
11.5,0.18,0.51,3.28,bad
10.9,0.37,0.58,3.22,bad
8.4,0.715,0.2,3.31,bad
7.5,0.65,0.18,3.38,bad
7.9,0.545,0.06,3.36,bad
6.9,0.54,0.04,3.69,bad
11.5,0.18,0.51,3.28,bad
10.3,0.32,0.45,3.23,good
8.9,0.4,0.32,3.38,good
11.4,0.26,0.44,3.12,bad
7.7,0.27,0.68,3.25,good
7.6,0.52,0.12,3.36,bad
8.9,0.4,0.32,3.38,good
9.9,0.59,0.07,3.31,bad
9.9,0.59,0.07,3.31,bad
12,0.45,0.55,3.1,bad
7.5,0.4,0.12,3.37,bad
8.7,0.52,0.09,3.34,good
11.6,0.42,0.53,3.2,bad
8.7,0.52,0.09,3.34,good
11,0.2,0.48,3.3,bad
10.4,0.55,0.23,3.22,bad
6.9,0.36,0.25,3.41,bad
13.3,0.34,0.52,3.05,bad
10.8,0.5,0.46,3.05,bad
10.6,0.83,0.37,3.16,bad
7.1,0.63,0.06,3.67,bad
7.2,0.65,0.02,3.67,bad
6.9,0.67,0.06,3.68,bad
7.5,0.53,0.06,3.38,bad
11.1,0.18,0.48,3.22,bad
8.3,0.705,0.12,3.51,bad
7.4,0.67,0.12,3.39,bad
8.4,0.65,0.6,3.2,bad
10.3,0.53,0.48,3.12,bad
7.6,0.62,0.32,3.36,bad
10.3,0.41,0.42,3.19,bad
10.3,0.43,0.44,3.19,bad
7.4,0.29,0.38,3.41,bad
10.3,0.53,0.48,3.12,bad
7.9,0.53,0.24,3.27,bad
9,0.46,0.31,3.32,bad
8.6,0.47,0.3,3.3,bad
7.4,0.36,0.29,3.39,bad
7.1,0.35,0.29,3.42,bad
9.6,0.56,0.23,3.3,bad
9.6,0.77,0.12,3.3,bad
9.8,0.66,0.39,3.37,good
9.6,0.77,0.12,3.3,bad
9.8,0.66,0.39,3.37,good
9.3,0.61,0.26,3.24,bad
7.8,0.62,0.05,3.29,bad
10.3,0.59,0.42,3.28,bad
10,0.49,0.2,3.16,bad
10,0.49,0.2,3.16,bad
11.6,0.53,0.66,3.05,good
10.3,0.44,0.5,3.28,bad
13.4,0.27,0.62,3.16,bad
10.7,0.46,0.39,3.18,bad
10.2,0.36,0.64,3.23,bad
10.2,0.36,0.64,3.23,bad
8,0.58,0.28,3.22,bad
8.4,0.56,0.08,3.13,bad
7.9,0.65,0.01,3.34,good
11.9,0.695,0.53,3.17,good
8.9,0.43,0.45,3.35,bad
7.8,0.43,0.32,3.31,bad
12.4,0.49,0.58,3.16,bad
12.5,0.28,0.54,3.11,good
12.2,0.34,0.5,3.12,bad
10.6,0.42,0.48,3.21,bad
10.9,0.39,0.47,3.3,bad
10.9,0.39,0.47,3.3,bad
11.9,0.57,0.5,3.12,bad
7,0.685,0,3.6,bad
6.6,0.815,0.02,3.58,good
13.8,0.49,0.67,3.02,bad
9.6,0.56,0.31,3.11,bad
9.1,0.785,0,3.36,bad
10.7,0.67,0.22,3.28,bad
9.1,0.795,0,3.35,bad
7.7,0.665,0,3.27,bad
13.5,0.53,0.79,3.18,bad
6.1,0.21,0.4,3.25,bad
6.7,0.75,0.01,3.55,bad
11.5,0.41,0.52,3.26,bad
10.5,0.42,0.66,3.24,good
11.9,0.43,0.66,3.15,good
12.6,0.38,0.66,3.17,bad
8.2,0.7,0.23,3.19,bad
8.6,0.45,0.31,3.37,bad
11.9,0.58,0.66,3.05,bad
12.5,0.46,0.63,2.99,bad
12.8,0.615,0.66,3.07,good
10,0.42,0.5,3.26,bad
12.8,0.615,0.66,3.07,good
10.4,0.575,0.61,3.16,bad
10.3,0.34,0.52,3.18,bad
9.4,0.27,0.53,3.2,good
6.9,0.765,0.02,3.57,bad
7.9,0.24,0.4,3.32,bad
9.1,0.28,0.48,3.32,bad
7.4,0.55,0.22,3.05,bad
14,0.41,0.63,3.01,bad
11.5,0.54,0.71,3.01,good
11.5,0.45,0.5,3.26,bad
9.4,0.27,0.53,3.2,good
11.4,0.625,0.66,3.11,bad
8.3,0.42,0.38,3.31,bad
8.3,0.26,0.42,3.21,bad
13.7,0.415,0.68,3.06,bad
8.3,0.26,0.42,3.21,bad
8.3,0.26,0.42,3.21,bad
7.7,0.51,0.28,3.42,bad
7.4,0.63,0.07,3.43,bad
7.8,0.54,0.26,3.41,bad
8.3,0.66,0.15,3.31,bad
7.8,0.46,0.26,3.43,bad
9.6,0.38,0.31,3.19,good
5.6,0.85,0.05,3.56,good
13.7,0.415,0.68,3.06,bad
9.5,0.37,0.52,3.18,bad
8.4,0.665,0.61,3.16,bad
12.7,0.6,0.65,3.03,bad
12,0.37,0.76,3.22,good
6.6,0.735,0.02,3.47,bad
11.5,0.59,0.59,3.18,bad
11.5,0.59,0.59,3.18,bad
8.7,0.765,0.22,3.1,bad
6.6,0.735,0.02,3.47,bad
7.7,0.26,0.3,3.29,bad
12.2,0.48,0.54,3.1,bad
11.4,0.6,0.49,3.15,bad
7.7,0.69,0.05,3.26,bad
8.7,0.31,0.46,3.36,bad
9.8,0.44,0.47,3.24,bad
12,0.39,0.66,3.18,good
10.4,0.34,0.58,3.19,bad
12.5,0.46,0.49,3.05,bad
9,0.43,0.34,3.38,bad
9.1,0.45,0.35,3.38,bad
7.1,0.735,0.16,3.27,bad
9.9,0.4,0.53,3.27,good
8.8,0.52,0.34,3.26,bad
8.6,0.725,0.24,3.32,bad
10.6,0.48,0.64,3.26,bad
7,0.58,0.12,3.44,bad
11.9,0.38,0.51,3.24,bad
6.8,0.77,0,3.62,bad
9.5,0.56,0.33,3.28,good
6.6,0.84,0.03,3.52,good
7.7,0.96,0.2,3.36,bad
10.5,0.24,0.47,3.15,good
7.7,0.96,0.2,3.36,bad
6.6,0.84,0.03,3.52,good
6.4,0.67,0.08,3.49,bad
9.5,0.78,0.22,3.26,bad
9.1,0.52,0.33,3.24,bad
12.8,0.84,0.63,3.1,bad
10.5,0.24,0.47,3.15,good
7.8,0.55,0.35,3.25,bad
11.9,0.37,0.69,3,bad
12.3,0.39,0.63,3.16,bad
10.4,0.41,0.55,3.15,bad
12.3,0.39,0.63,3.16,bad
8,0.67,0.3,3.26,bad
11.1,0.45,0.73,3.17,bad
10.4,0.41,0.55,3.15,bad
7,0.62,0.18,3.08,bad
12.6,0.31,0.72,2.88,good
11.9,0.4,0.65,3.06,bad
15.6,0.685,0.76,2.95,good
10,0.44,0.49,3.23,good
5.3,0.57,0.01,3.57,good
9.5,0.735,0.1,3.23,bad
12.5,0.38,0.6,3.1,bad
9.3,0.48,0.29,3.22,bad
8.6,0.53,0.22,3.2,bad
11.9,0.39,0.69,3.1,bad
11.9,0.39,0.69,3.1,bad
8.4,0.37,0.53,3.06,bad
6.8,0.56,0.03,3.44,bad
10.4,0.33,0.63,3.26,good
7,0.23,0.4,3.5,bad
11.3,0.62,0.67,3.22,good
8.9,0.59,0.39,3.37,bad
9.2,0.63,0.21,3.28,bad
10.4,0.33,0.63,3.26,good
11.6,0.58,0.66,3.25,bad
9.2,0.43,0.52,3.35,bad
8.3,0.615,0.22,3.26,bad
11,0.26,0.68,3.18,bad
8.1,0.66,0.7,3.08,bad
11.5,0.315,0.54,2.98,bad
10,0.29,0.4,3.48,bad
10.3,0.5,0.42,3.16,bad
8.8,0.46,0.45,3.32,bad
11.4,0.36,0.69,3.17,bad
8.7,0.82,0.02,3.2,bad
13,0.32,0.65,3.05,bad
9.6,0.54,0.42,3.2,bad
12.5,0.37,0.55,3.15,bad
9.9,0.35,0.55,3.26,bad
10.5,0.28,0.51,3.2,bad
9.6,0.68,0.24,3.14,bad
9.3,0.27,0.41,3.28,bad
10.4,0.24,0.49,3.18,bad
9.6,0.68,0.24,3.14,bad
9.4,0.685,0.11,3.19,bad
10.6,0.28,0.39,3.12,bad
9.4,0.3,0.56,3.15,good
10.6,0.36,0.59,3.04,bad
10.6,0.36,0.6,3.04,bad
10.6,0.44,0.68,3.06,bad
10.2,0.67,0.39,3.17,bad
10.2,0.67,0.39,3.17,bad
10.2,0.645,0.36,3.17,bad
11.6,0.32,0.55,3.32,good
9.3,0.39,0.4,3.34,bad
9.3,0.775,0.27,3.31,bad
9.2,0.41,0.5,3.34,good
8.9,0.4,0.51,3.32,good
8.7,0.69,0.31,3.48,bad
6.5,0.39,0.23,3.44,bad
10.7,0.35,0.53,3.15,good
7.8,0.52,0.25,3.43,bad
7.2,0.34,0.32,3.32,bad
10.7,0.35,0.53,3.15,good
8.7,0.69,0.31,3.48,bad
7.8,0.52,0.25,3.43,bad
10.4,0.44,0.73,3.17,good
10.4,0.44,0.73,3.17,good
10.5,0.26,0.47,3.18,good
10.5,0.24,0.42,3.21,good
10.2,0.49,0.63,3.16,good
10.4,0.24,0.46,3.25,good
11.2,0.67,0.55,3.17,bad
10,0.59,0.31,3.18,bad
13.3,0.29,0.75,3.04,good
12.4,0.42,0.49,3.02,bad
10,0.59,0.31,3.18,bad
10.7,0.4,0.48,3.03,bad
10.5,0.51,0.64,3.09,good
10.5,0.51,0.64,3.09,good
8.5,0.655,0.49,3.31,bad
12.5,0.6,0.49,3.25,bad
10.4,0.61,0.49,3.16,bad
10.9,0.21,0.49,3.22,bad
7.3,0.365,0.49,3.36,bad
9.8,0.25,0.49,3.42,bad
7.6,0.41,0.49,3.48,bad
8.2,0.39,0.49,3.38,bad
9.3,0.4,0.49,3.22,bad
9.2,0.43,0.49,3.23,bad
10.4,0.64,0.24,3.24,bad
7.3,0.365,0.49,3.36,bad
7,0.38,0.49,3.39,bad
8.2,0.42,0.49,3.34,bad
9.9,0.63,0.24,3.09,bad
9.1,0.22,0.24,3.41,bad
11.9,0.38,0.49,3.16,bad
11.9,0.38,0.49,3.16,bad
10.3,0.27,0.24,3.22,bad
10,0.48,0.24,3.28,bad
9.1,0.22,0.24,3.41,bad
9.9,0.63,0.24,3.09,bad
8.1,0.825,0.24,3.37,bad
12.9,0.35,0.49,3.2,good
11.2,0.5,0.74,3.22,bad
9.2,0.59,0.24,3.26,bad
9.5,0.46,0.49,3.21,bad
9.3,0.715,0.24,3.12,bad
11.2,0.66,0.24,3.06,bad
14.3,0.31,0.74,2.86,bad
9.1,0.47,0.49,3.08,bad
7.5,0.55,0.24,3.45,bad
10.6,0.31,0.49,3.26,bad
12.4,0.35,0.49,3.12,bad
9,0.53,0.49,3.27,bad
6.8,0.51,0.01,3.33,bad
9.4,0.43,0.24,3.19,bad
9.5,0.46,0.24,3.12,bad
5,1.04,0.24,3.74,bad
15.5,0.645,0.49,2.92,bad
15.5,0.645,0.49,2.92,bad
10.9,0.53,0.49,3.07,bad
15.6,0.645,0.49,2.92,bad
10.9,0.53,0.49,3.07,bad
13,0.47,0.49,3.3,bad
12.7,0.6,0.49,3.14,bad
9,0.44,0.49,3.23,bad
9,0.54,0.49,3.08,bad
7.6,0.29,0.49,3.31,bad
13,0.47,0.49,3.3,bad
12.7,0.6,0.49,3.14,bad
8.7,0.7,0.24,3.32,bad
8.7,0.7,0.24,3.32,bad
9.8,0.5,0.49,3.31,bad
6.2,0.36,0.24,3.57,bad
11.5,0.35,0.49,3.32,bad
6.2,0.36,0.24,3.57,bad
10.2,0.24,0.49,3.14,bad
10.5,0.59,0.49,3.3,bad
10.6,0.34,0.49,3.19,bad
12.3,0.27,0.49,3.2,bad
9.9,0.5,0.24,3.34,bad
8.8,0.44,0.49,3.3,bad
8.8,0.47,0.49,3.29,bad
10.6,0.31,0.49,3.14,bad
12.3,0.5,0.49,3.19,bad
12.3,0.5,0.49,3.19,bad
11.7,0.49,0.49,3.19,bad
12,0.28,0.49,2.98,good
11.8,0.33,0.49,3.3,good
7.6,0.51,0.24,3.47,bad
11.1,0.31,0.49,3.12,good
7.3,0.73,0.24,3.26,bad
5,0.42,0.24,3.72,good
10.2,0.29,0.49,3.05,good
9,0.45,0.49,3.35,bad
6.6,0.39,0.49,3.12,bad
9,0.45,0.49,3.35,bad
9.9,0.49,0.58,3.29,bad
7.9,0.72,0.17,3.4,bad
8.9,0.595,0.41,3.27,bad
12.4,0.4,0.51,3.04,bad
11.9,0.58,0.58,3.09,bad
8.5,0.585,0.18,3.2,bad
12.7,0.59,0.45,3,bad
8.2,0.915,0.27,3.26,bad
13.2,0.46,0.52,3.1,bad
7.7,0.835,0,3.3,bad
13.2,0.46,0.52,3.1,bad
8.3,0.58,0.13,3.17,bad
8.3,0.6,0.13,3.31,bad
9.4,0.41,0.48,3.34,good
8.8,0.48,0.41,3.31,bad
10.1,0.65,0.37,3.32,bad
6.3,0.36,0.19,3.56,bad
8.8,0.24,0.54,3.39,bad
13.2,0.38,0.55,2.98,bad
7.5,0.64,0,3.32,bad
8.2,0.39,0.38,3.26,bad
9.2,0.755,0.18,2.87,bad
9.6,0.6,0.5,3.5,bad
9.6,0.6,0.5,3.5,bad
11.5,0.31,0.51,3.03,bad
11.4,0.46,0.5,3.13,bad
11.3,0.37,0.41,3.09,bad
8.3,0.54,0.24,3.27,bad
8.2,0.56,0.23,3.28,bad
10,0.58,0.22,3.13,bad
7.9,0.51,0.25,3.49,bad
6.8,0.69,0,3.46,bad
6.8,0.69,0,3.46,bad
8.8,0.6,0.29,3.36,bad
8.8,0.6,0.29,3.36,bad
8.7,0.54,0.26,3.27,bad
7.6,0.685,0.23,3.21,bad
8.7,0.54,0.26,3.27,bad
10.4,0.28,0.54,3.25,bad
7.6,0.41,0.14,3.32,bad
10.1,0.935,0.22,3.43,bad
7.9,0.35,0.21,3.27,bad
8.7,0.84,0,3.27,bad
9.6,0.88,0.28,3.24,bad
9.5,0.885,0.27,3.24,bad
7.7,0.915,0.12,3.35,good
8.9,0.29,0.35,3.18,bad
9.9,0.54,0.45,3.39,bad
9.5,0.59,0.44,3.46,bad
9.9,0.54,0.45,3.39,bad
9.5,0.59,0.44,3.46,bad
9.9,0.54,0.45,3.39,bad
7.8,0.64,0.1,3.37,good
7.3,0.67,0.05,3.4,bad
8.3,0.845,0.01,3.32,bad
8.7,0.48,0.3,3.33,good
6.7,0.42,0.27,3.16,bad
10.7,0.43,0.39,2.89,bad
9.8,0.88,0.25,3.41,bad
15.9,0.36,0.65,2.98,bad
9.4,0.33,0.59,3.12,bad
8.6,0.47,0.47,3.08,bad
9.7,0.55,0.17,3.14,bad
10.7,0.43,0.39,2.89,bad
12,0.5,0.59,2.92,good
7.2,0.52,0.07,3.32,bad
7.1,0.84,0.02,3.41,bad
7.2,0.52,0.07,3.32,bad
7.5,0.42,0.31,3.31,bad
7.2,0.57,0.06,3.36,bad
10.1,0.28,0.46,3.04,bad
12.1,0.4,0.52,3.03,bad
9.4,0.59,0.14,3.14,bad
8.3,0.49,0.36,3.18,bad
11.3,0.34,0.45,2.94,bad
10,0.73,0.43,3.15,bad
11.3,0.34,0.45,2.94,bad
6.9,0.4,0.24,3.26,bad
8.2,0.73,0.21,3.2,bad
9.8,1.24,0.34,3.15,bad
8.2,0.73,0.21,3.2,bad
10.8,0.4,0.41,3.08,bad
9.3,0.41,0.39,3.26,bad
10.8,0.4,0.41,3.08,bad
8.6,0.8,0.11,3.4,bad
8.3,0.78,0.1,3.48,bad
10.8,0.26,0.45,3.13,bad
13.3,0.43,0.58,3.06,bad
8,0.45,0.23,3.21,bad
8.5,0.46,0.31,3.33,bad
8.1,0.78,0.23,3.37,bad
9.8,0.98,0.32,3.25,bad
8.1,0.78,0.23,3.37,bad
7.1,0.65,0.18,3.44,bad
9.1,0.64,0.23,3.28,bad
7.7,0.66,0.04,3.4,bad
8.1,0.38,0.48,3.3,bad
7.4,1.185,0,3.63,bad
9.2,0.92,0.24,3.48,bad
8.6,0.49,0.51,3.03,bad
9,0.48,0.32,3.32,bad
9,0.47,0.31,3.31,bad
5.1,0.47,0.02,3.9,bad
7,0.65,0.02,3.47,bad
7,0.65,0.02,3.47,bad
9.4,0.615,0.28,3.31,bad
11.8,0.38,0.55,3.11,bad
10.6,1.02,0.43,3.08,bad
7,0.65,0.02,3.47,bad
7,0.64,0.02,3.47,bad
7.5,0.38,0.48,3.32,bad
9.1,0.765,0.04,3.29,bad
8.4,1.035,0.15,3.37,bad
7,0.78,0.08,3.4,bad
7.4,0.49,0.19,3.37,bad
7.8,0.545,0.12,3.34,bad
9.7,0.31,0.47,3.27,bad
10.6,1.025,0.43,3.06,bad
8.9,0.565,0.34,3.38,bad
8.7,0.69,0,3.36,bad
8,0.43,0.36,3.34,bad
9.9,0.74,0.28,3.28,bad
7.2,0.49,0.18,3.29,bad
8,0.43,0.36,3.34,bad
7.6,0.46,0.11,3.21,bad
8.4,0.56,0.04,3.22,bad
7.1,0.66,0,3.46,bad
8.4,0.56,0.04,3.22,bad
8.9,0.48,0.24,3.1,bad
7.6,0.42,0.08,3.21,bad
7.1,0.31,0.3,2.94,bad
7.5,1.115,0.1,3.54,bad
9,0.66,0.17,3.29,bad
8.1,0.72,0.09,3.43,bad
6.4,0.57,0.02,3.46,bad
6.4,0.57,0.02,3.46,bad
6.4,0.865,0.03,3.61,bad
9.5,0.55,0.66,3.17,bad
8.9,0.875,0.13,3.44,bad
7.3,0.835,0.03,3.39,bad
7,0.45,0.34,3.55,bad
7.7,0.56,0.2,3.48,bad
7.7,0.965,0.1,3.26,bad
7.7,0.965,0.1,3.26,bad
8.2,0.59,0,3.5,bad
9,0.46,0.23,3.1,bad
9,0.69,0,3.35,bad
8.3,0.76,0.29,3.45,bad
9.2,0.53,0.24,3.21,bad
6.5,0.615,0,3.46,bad
11.6,0.41,0.58,3.13,bad
11.1,0.39,0.54,3.13,bad
7.3,0.51,0.18,3.52,bad
8.2,0.34,0.38,3.3,bad
8.6,0.33,0.4,3.3,bad
7.2,0.5,0.18,3.52,bad
7.3,0.51,0.18,3.52,bad
8.3,0.65,0.1,3.29,bad
8.3,0.65,0.1,3.29,bad
