Cocktail Name,Bartender,Bar/Company,Location,Ingredients,Garnish,Glassware,Preparation,Notes
The King's Ginger Spiced Punch,,,,"25 oz King's Ginger Liqueur, 37.5 oz Cranberry Juice, 37.5 oz Fever-Tree Lemonade","Lemon Wheel, Strawberry",Punch Bowl,Add all ingredients into a punch bowl or pitcher and stir. Add lemon wheels and strawberries to garnish.,
War of the Roses,Kevin Diedrich,,,".75 c Junipero Gin, .75 c C. Drouin Calvados Selection, .5 c Lemon Juice, .5 c Ginger-Vanilla Syrup, 4 dash Angostura Bitters, 1 bottle Sparkling Rose","Cinnamon sticks, Lemon wheels, Apple slices",Rocks Glass,Add all ingredients into a punch bowl. Serve in small rocks glasses.,
The King's Medicine,Matt Grippo,Blackbird,San Francisco,"1.5 oz King's Ginger Liqueur, .5 oz Luxardo Fernet, .25 oz BenRiach Curiositas Single Malt 10 YO, .75 oz Lemon Juice",Lemon Twist,Coupe,"Add all ingredients into a shaker with ice, shake furiously. Fine strain into chilled coupe. Garnish with a lemon twist.",
A.Nise,Kate KaiKaew,Osha,San Francisco,"1.5 oz Pink Pigeon Rum, .5 oz Luxardo Amaretto di Saschira, .5 oz Osha Falernum, .5 oz Lemon juice, 1 oz Pineapple juice, 3 dash Orange bitters","Star Anise, Lemongrass Slices",Rocks Glass,Add all ingredients into a shaker with ice. Shake. Strain over fresh ice into a rocks glass. Garnish with star anise and two slices lemongrass.,
Down the Rabbit Hole,Elmer Mejicano,Tony's Pizza Napoletana,San Francisco," oz Junipero Gin,  oz Lemon,  oz Elder Flower Liquor,  oz Honey Syrup,  oz Carrot Juice",Mint Leaves,Collins,"Add all ingredients into a shaker, shake strain into a collins glass, fill with crushed ice, garnish with mint leaves.",
Peace Daiquiri,Kate Grutman,,,"1.5 oz Pink Pigeon Rum, .5 oz Luxardo Maraschino Liqueur, .75 oz Fresh Lime Juice, .5 oz Simple Syrup, .5 oz Fresh Grapefruit Juice",Luxardo Cherry,Coupe,"Add all ingredients into shaking tin. Add ice cubes to tin. Shake vigorously and strain into coupe. Garnish with Luxardo Maraschino Cherry.
",
The King's Autumn Cobbler,,,,"1 oz King's Ginger Liqueur, .25 oz Briottet Creme de Mure (Blackberry),  top Pear Cider","3 Lemon Wedges, 3 Blackberries",N/A,Add all ingredients over ice. Stir with a barspoon. Squeeze lemon wedges and add blackberries.,
The Mad King,,,,"2 oz Glenrothes Vintage Reserve, 1 oz King's Ginger Liqueur, .25 oz Honey Syrup, 1 dash Angostura Bitters",Flamed Lemon Peel,Highball Glass,"Add all ingredients to a mixing glass and stir for 15-20 seconds. Strain into a highball filled with fresh ice.
",
The Robert Baratheon,,,,"2 oz Single Malt Scotch, .25 oz Dry Vermouth, .25 oz Luxardo Maraschino Liqueur, 2 dash Angostura Bitters",Luxardo Cherry,Coupe,Add all ingredients to a mixing glass filled with ice. Stir until cold and strain into a chilled coupe.,Photo credit: liquor.com
Lux Shandy,Naomi Levy,Eastern Standard,Boston,"1 oz Luxardo Aperitivo, .5 oz Lemon Juice, .5 oz Orange Juice, .5 oz Simple Syrup,  top Anchor California Lager",Half Orange Wheel,Highball Glass,Add all ingredients to a mixing glass. Add ice and integration shake. Pour over fresh ice into a highball and top with California Lager. Garnish with a half orange wheel.,"First served at Tales of the Cocktail 2014 ""Luxardo CAP Lunch"""
Fiona Graham,Chris Morris,,Houston,"1.5 oz Luxardo Bitter Bianco, 1 oz Junmai Sake, .25 oz Coconut Rum, 1 dash Orange Bitters, 1 dash Coconut Vinegar",Expressed Orange Swath,Nick & Nora,Add all ingredients to a mixing glass. Stir until thoroughly chilled (~30 seconds). Strain into a chilled cocktail glass. Serve with one big rock. Garnish with an expressed orange swath.,
Le Sang et Sable,Toby Cecchini,,,"1.5 oz H by HINE, .5 oz Dubonnet Rouge, .5 oz Cherry Herring, .375 oz Blood Orange Juice, .375 oz Lemon Juice","Cherry, Lemon Twist",Stemmed Cordial Glass,Add all ingredients to a shaker and fill with ice. Shake vigorously and strain into chilled stemmed cordial glass. Garnish with cocktail cherry and lemon twist.,Photo credit: liquor.com
Martinez,,,,"1.5 oz Old Tom Gin, 1.5 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .25 oz Luxardo Maraschino Liqueur, 2 dash Tempus Fugit Abbott's Bitters",Orange Twist,Coupe,"Add all ingredients to a shaker and fill with ice. Shake, and strain into a chilled coupe glass.",
Amaretto Sour BV-Style,Scott Baird,The Bon Vivants,San Francisco,"1.5 oz Luxardo Amaretto di Saschira, .5 oz Bourbon, .5 oz Fresh Lime Juice, .75 oz Pineapple Juice, .75 oz Fresh Egg White, 2 dash Angostura Bitters","Cherry, Freshly Grated Cinnamon",Coupe,Add all ingredients to a shaker and shake well without ice to emulsify the egg white. Add ice and shake hard until the drink is chilled. Strain through a fine-mesh strainer into a chilled coupe and garnish.,"Cocktail appeared in <a href=""http://imbibemagazine.com/pig-punch-cocktail-series-amaretto-sour/"" target=""_blank"" rel=""nofollow"">IMBIBE EVENTS + PROMOTIONS PIG N PUNCH JUNE 15, 2016</a>"
Julia's Child,Calvin Marty,Best Intentions,Chicago,"1 oz Broker's Gin, 1 oz Karlsson's Gold Vodka, 2 oz Celery Root Puree, .5 oz Fresh Lemon Juice, .75 oz Simple Syrup, 3 dash Apple Bitters, 1 dash Angostura Bitters",Celery Leaf,Cocktail Glass,"Add all ingredients to a shaker and shake with ice, then double strain into a cocktail glass. Garnish with a celery leaf.",
The Bitter King,,,,"2 oz King's Ginger Liqueur, .75 oz Lemon Juice, .75 oz Simple Syrup",Luxardo Cherry,Martini,"Add all ingredients to a shaker, add ice, shake and strain into a martini glass garnish with a Luxardo Cherry.",
La Maracuja,Luis Hernandez,White Oak Tavern,New York,"2 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, 1.5 oz Fresh Passion Fruit, 1 oz Condense Milk, .25 oz Brown Sugar Syrup (2:1)","Mint Sprig, Fresh Grated Nutmeg",N/A,Add all ingredients to blender and blend throughly. Double strain into a glass with cracked ice garnish with a mint sprig and fresh grated nutmeg.,
San Francisco Strong (Skrong),Matt Grippo,Blackbird,San Francisco,".75 oz Junipero Gin, .75 oz Tempus Fugit Kina L'Aero d'Or, .75 oz Luxardo Bitter Bianco, .75 oz Lemon Juice, .75 oz Egg Whites, .5 oz Rich Simple Syrup*",Matcha Powder,Cocktail Glass,"Add all ingredients to tin and dry shake. Add ice and vigorously shake for 12 seconds. Fine strain into chilled cocktail glass. Garnish by sprinkling matcha powder (.25 tsp). 

*Rich Simple Syrup: 
-- 2 cups Granulated Sugar
-- 1 cup Water

Combine sugar and water in a small saucepan over medium heat and stir until sugar dissolves. Remove from heat, let cool to room temperature and transfer to a clean glass jar. Cover and keep refrigerated for up to 2 weeks.",
Nuestra Julep,David Ruiz,Padrecito,San Francisco,"1 oz High West Oat Whisky, .5 oz King's Ginger Liqueur, .5 oz Peach Shrub, .75 oz Lime, 1 dash Angostura Bitters, 1 dash Grapefruit Bitters",Basil Leaf,N/A,Add all ingredients together.,Featured on the Padrecito cocktail menu august (fall) 2015
Pisco Punch,,,,"2 oz BarSol Selecto Italia Pisco, 2 oz Pineapple Juice, 1 oz Fresh Lime Juice, 1 oz Simple Syrup","Luxardo Cherry, Pineapple Chunks",Wine Glass,Add all liquid ingredients into a cocktail shaker with ice. Shake well and strain into an ice filled white wine glass. Garnish by adding pineapple chunks and Luxardo Cherry.,The original SF Pisco Punch recipe from the 1800s is made with a pisco from Italia grapes known as “Rosa del Peru”.
La Batida Loca,Paul Sauter,Tippling Hall,Chicago,"2 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, 1.5 oz Sweetened Condensed Milk, 1 oz Passion Fruit (fresh or puree), .5 oz Pilon Syrup*",Passion Fruit Seeds,Collins,"Add all of the ingredients, except seeds, to a shaker with ice and shake well. Double strain onto fresh ice into a collins glass. Garnish with 1 spoon of passion fruit seeds.

*Pilon Syrup:
Homemade 50/50 simple syrup using Pilon Sugar made from Mexican Sugar Cane.",
Neighborhood Negroni,Tony Abou-Ganim,,,"1 oz Junipero Gin, 1 oz Campari, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso",Flamed Orange Twist,Cocktail Glass,Add all the ingredients to a mixing glass and fill with ice. Stir until well chilled and strain into a chilled cocktail glass. Garnish with a flamed orange twist.,Photo credit: Tim Turner (The Modern Mixologist: Contemporary Classic Cocktails)
Rothes Roy,,,,"2 oz Glenrothes Vintage Reserve, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 3 dash Angostura Bitters",Luxardo Cherry,N/A,"Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a chilled cocktail glass. Garnish with a Luxardo Cherry.",
Angel's Face,Jay Zimmerman,,,"1 oz No.3 London Dry Gin, 1 oz Applejack, 1 oz Luxardo Apricot Liqueur",Orange Peel Slice,Cocktail Glass,"Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a cocktail glass. Garnish with a slice of orange peel.",Photo credit: liquor.com
Kiss,Brian Miller,,,"2 oz Gin, .75 oz Sweet Vermouth, .75 oz Dubonnet Rouge, .25 oz Luxardo Maraschino Liqueur",Apple Slice,Martini,"Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a martini glass. Garnish with an apple slice.",Photo credit: liquor.com
The Cappa,Franky Marshall,,,"1.5 oz Gin, 1.5 oz Pineau des Charentes, .5 oz Luxardo Maraschino Liqueur",Lemon Peel Twist,Wine Glass,"Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a small wine or cocktail glass. Twist a slice of lemon peel over the drink and use as garnish.",
The Inside Job,Jared Schubert,,,"2 oz Bourbon, .25 oz Luxardo Maraschino Liqueur, .5 oz Simple Syrup, 1 dash Angostura Bitters, 1 dash Vieux Pontarlier Absinthe Francaise Superieure","Luxardo Cherry, Orange Twist",Old Fashioned Glass,"Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into an old fashioned glass filled with fresh ice. Garnish with a Luxardo Cherry and an orange slice or twist.",Photo credit: liquor.com
The Sun Also Rises,Jim Meehan,,,"2 oz Banks 5 Island Rum, .75 oz Fresh Lime Juice, .5 oz Fresh Grapefruit Juice, .5 oz Luxardo Maraschino Liqueur, 1 tsp Vieux Pontarlier Absinthe Francaise Superieure",,Coupe,"Add all the ingredients to a shaker and fill with ice. Shake, and strain into a chilled coupe glass filled with crushed ice.",
Trato Hecho,Phil Ward,,,".75 oz Pineapple-Infused Mezcal*, .75 oz Green Chartreuse, .75 oz Luxardo Maraschino Liqueur, .75 oz Lime Juice",,Coupe,"Add all the ingredients to a shaker and fill with ice. Shake, and strain into a coupe glass.

*Pineapple-Infused Mezcal:
Peel, core and chop a whole pineapple into 1-inch cubes. Add to a large jar or other container with a lid, and add a 750-mL bottle of mezcal. Let stand for 5 days and strain before using.",Photo credit: liquor.com
Nick & Janae,David Ruiz,Harper & Rye,San Francisco,"1.5 oz H by HINE, .5 oz Luxardo Amaro Abano, .75 oz Fresh Lemon Juice, .75 oz Strawberry Syrup*, .5 oz Egg White",Black Pepper,Coupe,"Add cognac, amaro, lemon, strawberry syrup and fresh cracked egg white of a whole egg to tin. Dry shake without ice approx. 5 seconds to emulsify. Add ice and shake hard again approx. 10 seconds. Fine strain into coupe. Crack drag black pepper over surface. Serve and enjoy.

*Strawberry syrup- 1 cup fresh strawberries 1 cup water 1cup sugar. Blend in vitamix then heat on stove and stir until hot to bind sugars, don't boil. Bottle and refrigerate.",
On the Wings of Eagles,Matthew Polzin,The Olde Bar,Philadelphia,"1.5 oz H by HINE, .75 oz Rye Whiskey, .75 oz Green Chartreuse, 2 dash Lemon Bitters, 1 splash Fernet-Branca",Mint Sprig,Rocks Glass,"Add cognac, rye, Chartreuse and bitters to a mixing glass with ice, and stir until cold. Add splash of fernet to a rocks glass, roll the glass to coat the sides, and discard the excess. Add one large ice cube to the glass, strain the drink over the cube, and garnish with a mint sprig.",Photo credit: liquor.com
Mule Pigeon,Ryan Chetiyawardana,,,"40 ml Pink Pigeon Rum, 2 dash Angostura Bitters,  top Ginger Beer",Basil Sprig,Highball Glass,"Add cubed ice to a highball, add 2 dashes of Angostura Bitters, top with ginger beer, garnish with a sprig of basil.",
Cuba Liberation,,,,"2 oz Pink Pigeon Rum, 1.5 oz Fresh lime juice, .25 oz Simple syrup,  oz Mexican Coca Cola, 1 float Luxardo Fernet","Lime wheel, Mint sprig",N/A,Add first three ingredients to a mixing glass with shaker and lightly shake with ice. Pour mixture into a Collins or highball glass over ice. Top with Mexican Coke (or any coca cola as a substitute) and pour Luxardo Fernet on top to float. Garnish with a lime wheel and fresh mint sprig.,
Off the Radar,,,,"1.5 oz Junipero Gin, .5 oz Lemon Juice, .25 oz Luxardo Maraschino Liqueur, .25 oz Liqueur de Violette, 3-4 oz Tonic Water",Lemon Wheel,Collins,"Add gin, lemon juice, maraschino liqueur, and liqueur de violette to a collins glass filled with ice. Add tonic water; stir to combine. Garnish with a lemon wheel.",
Maraschino Side Car,Caterina Miltenberger,,,".75 oz Luxardo Maraschino Liqueur, .25 oz Dry Curacao, .5 oz Bourbon Rye, .25 oz Lemon Juice","Lemon Peel, Abbott's Aromatic Bitters",N/A,"Add ingredients in a mixing glass with fresh ice. Shake vigorously strain over fresh ice. Garnish with lemon peel to fit in glass and 1 dash of Abbott's Aromatic Bitters. Optional sugar rim.
",
The Royal Buck,,,,"1 oz No.3 London Dry Gin, 1 oz King's Ginger Liqueur, .75 oz Lemon juice, .5 oz Simple syrup, 2 oz Club soda","Lemon wedge, Candied ginger",Collins,"Add ingredients to a mixing glass except club soda. Shake over ice, strain over ice into a collins glass, top with club soda. Garnish with a lemon wedge and candied ginger on a pick.",
Rx Hot Toddy,Christopher Buono,Walter Foods,Brooklyn,"1.5 oz Old Potrero Straight Rye Whiskey, .5 oz Lemon Juice, 2 oz Cold-pressed Apple Cider, 2 oz Hot Water, .5 oz Honey-Ginger Syrup*, 1 tsp Ghost-Pepper-Infused Campari**, 3 dash Cinnamon Tincture***",,Mug,"Add ingredients to a mug and stir.

*Honey-Ginger Syrup:
Combine 1 part ginger with 2 parts honey and 1 cup of water and boil. Reduce heat and simmer for 5 mins. Strain and discard solids.

**Ghost-Pepper-Infused Campari:
Soak 1 ghost pepper in a 16 oz. bottle of Campari for up to 24 hrs (reduce infusion time to reduce heat).

***Cinnamon Tincture:
Soak 3 cinnamon sticks in 16 oz. of any neutral grain alcohol that is high proof (regular 80-proof vodka is great) for up to 14 days. Strain and discard the sticks.",
Spanish G&T,Natasha Bahrami,The Gin Room,St. Louis,"1.5 oz Junipero Gin, 2 oz East Imperial Superior Tonic ,   Assorted Complementing Botanicals*",Assorted Complementing Botanicals,Large Balloon Glass,"Add Junipero Gin and botanicals first. Add ice and follow with a bold tonic. Top with additional botanicals/garnish for presentation.

*Assorted Complementing Botanicals: Orange, Star Anise, Rose Petals, Italian Juniper",
Chilcano,,,,"2 oz BarSol Selecto Acholado Pisco, .5 oz Fresh Lime Juice, 2-3 drops Angostura Bitters,  top Ginger Ale",Lime Wheel,Highball Glass,Add pisco and lime juice into a highball glass filled with ice. Pour ginger ale into the glass to top. Add 2-3 drops of bitters. Garnish with lime wheel.,
Kir Royale,,,,"1 part Briottet Creme de Cassis, 4 part Chilled Dry Champagne",,N/A,"Add room temperature Creme de Cassis to the glass first, followed by the Champagne.",
Kir,,,,"1 part Briottet Creme de Cassis, 4 part Chilled Dry White Wine",,N/A,"Add room temperature Creme de Cassis to the glass first, followed by the wine.",
Citrus Agave Caipirinha,,,,"1.5 oz Ypioca Brasilizar Cachaca Prata Classica, 1.5 oz Citrus Agave Blend, 1 splash Soda Water",Lime Wheel,Bucket,"Add soda to bucket first, then add spirits and mixers. Top with ice and garnish.",
Bermuda Highball,,,,"1 oz Chateau de Montifaud Cognac VSOP, 1 oz Plymouth Gin, 1 oz Contratto Bianco Vermouth, 2 dash Regans' Orange Bitters No. 6, 3 oz Club Soda",Orange Peel,Collins,Add spirits and bitters to collins glass. Add large ice cubes and fill with club soda. Garnish with orange peel (or lemon peel).,"<a href=""http://www.townandcountrymag.com/leisure/drinks/g2920/cognac-cocktails/?slide=2"" target=""_blank"">www.townandcountrymag.com</a>"
Lux Cherry Sparkler,,,,"1 oz Luxardo Sangue Morlacco Cherry Liqueur, 4 oz Prosecco",Luxardo Cherry,Champagne Flute,"Add the Cherry Liqueur to a flute, top with Prosecco, and garnish with a Luxardo Maraschino Cherry.",
French Maid,Jim Meehan,PDT ,New York,"1.5 oz H by HINE, 1 oz House Ginger Beer, .75 oz Lime juice, .75 oz Simple syrup, .25 oz John D. Taylor's Velvet Falernum, 3  Cucumber wheels, 8  Mint leaves, 1  Mint sprig","Fresh mint sprig, Cucumber wheel",N/A,"Add the cucumber, mint and simple syrup to a mixing glass and muddle. Add everything else, then shake with ice and strain into a Collins glass filled with ice. Garnish with a mint sprig poking through a cucumber wheel.",
Karlsson's Mule,,,,"1.5 oz Karlsson's Gold Vodka, .25 oz Lime juice , 3 oz Ginger beer",Lime wheel,Copper mug,"Add vodka and lime juice to drinking glass, add ice, and top with ginger beer. Garnish with a lime.",
Creek Ran Dry,Brian Means,Dirty Habit,San Francisco,"1 oz Pear Brandy, 1 oz Dry Vermouth, .5 oz Chateau de Montifaud Pineau des Charentes Blanc, .5 oz Dolin Genepy",Orange Twist,Coupe,"Barrel aged for 5 months in a used bourbon barrel.

Stir with ice and strain into a small coupe. Garnish with an orange twist.",
Mandrake,Brian Means,Dirty Habit,San Francisco,"1.5 oz BarSol Primero Quebranta Pisco, 1 oz BarSol Perfecto Amor (Aperitif Wine), .25 oz Leopold Bros. Bitter, .25 oz Velvet Falernum,   Red Hawaiian Salt",Orange Twist,Coupe,"Barrel aged in a used bourbon barrel that previously held a cocktail containing Hine Cognac and Luxardo Bitter.

Stir with ice and strain into a small coupe. Garnish with an orange twist.",
Redondo Beach,Morgan Schick,Bon Vivants,,"1.5 oz Chinaco Blanco Tequila, .25 oz F. Meyer Mirabelle (Yellow Plum), .5 oz Fino Sherry, .75 oz The Genuine Curacao Liqueur Blue, 2 oz Horchata, .5 oz Simple Syrup (2:1), .5 oz Lime Juice",Parasol,Rocks Glass,Blend with ice.,
The Tahoe Toddy,Jourdan Reinhart,,San Francisco,"2 oz Hot Water, 2 oz Glenrothes, 1 oz King's Ginger Liqueur, 1 dash Honey",Lemon Slice,Coffee Mug,"Boil water in a tea kettle. 

Squeeze lemon slice into the mug. Insert whole cloves into the lemon slice and drop it into the mug.",
Pink Ribbon,Kate Grutman,,,"1 cube Brown Sugar, soaked in Peychaud's Bitters, .75 oz Pink Pigeon Rum,  fill Champagne",Lemon twist,Champagne Flute,Brown sugar cube soaked in Peychaud’s Bitters. Put soaked sugar cube in glass first. Pour .75 oz Pink Pigeon rum into flute over sugar cube. Fill remainder of the glass with champagne. Garnish with lemon twist.,
Short Round II,Brian Means,Dirty Habit,San Francisco,"2 oz Avuá Prata Cachaça, 2 oz Bacardi Superior Rum, 3 oz Chateau de Montifaud Pineau des Charentes Rose, 2 oz Lime Juice, 1 oz Cannella Cinnamon Cordial, 2 oz Simple Syrup",,Large Antique Vintage Shaker,Build & Stir. Hoshizaki Ice.,
