Cocktail Name;Category;Alcoholic;Glassware;Preparation;PreparationDE;PreparationIT;DrinkThumb;Ingredients
9 1/2 Weeks;Cocktail;Alcoholic;Cocktail glass;Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.;Alle Zutaten in einem Glasmischer vermengen. Abkühlen lassen und in das Cocktailglas abseihen. Mit Erdbeerscheiben garnieren.;Unisci tutti gli ingredienti in una planetaria.  Raffredda e versa in un bicchiere da cocktail.  Guarnire con la fragola a fette.;https://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg;1 oz Orange juice, 1 splash Strawberry liqueur, 1/2 oz Orange Curacao, 2 oz Absolut Citron
A1;Cocktail;Alcoholic;Cocktail glass;Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.;Alle Zutaten in einen Cocktailshaker geben, mischen und über Eis in ein gekühltes Glas servieren.;Versare tutti gli ingredienti in uno shaker, mescolare e servire con ghiaccio in un bicchiere freddo.;https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg;1/8 Shot Grenadine, 1/4 Shot Lemon Juice, 1 Shot Grand Marnier, 1 3/4 shot Gin
ABC;Shot;Alcoholic;Shot glass;Layered in a shot glass.;Schichtaufbau in einem Schnapsglas.;Versa in ordine di lettera i vari ingredienti. 1/3 del bicchiere va riempito con l'Amaretto, 1/3 di Baileys e il restante di Cognac.;https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg;1/3 Cognac, 1/3 Baileys irish cream, 1/3 Amaretto
Ace;Cocktail;Alcoholic;Martini Glass;Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.;Alle Zutaten in einem Cocktailshaker mit Eis schütteln und dann in einem kalten Glas abseihen.;Shakerare tutti gli ingredienti in uno shaker e ghiaccio, quindi filtrare in un bicchiere freddo.;https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg;1/2 Fresh Egg White, 1/2 shot Milk, 1/2 shot Heavy cream, 1/2 shot Grenadine, 2 shots Gin
Adam;Ordinary Drink;Alcoholic;Cocktail glass;In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.;In einem Shaker, der halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut schütteln. In ein Cocktailglas abseihen.;In uno shaker riempito a metà con cubetti di ghiaccio, unire tutti gli ingredienti.Agitare bene.Filtrare in un bicchiere da cocktail.;https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg;1 tsp Grenadine, 1 oz Lemon juice, 2 oz Dark rum
AT&T;Ordinary Drink;Alcoholic;Highball Glass;Pour Vodka and Gin over ice, add Tonic and Stir;Wodka und Gin über das Eis gießen, Tonic hinzufügen und umrühren.;Versare la vodka e il gin sul ghiaccio, aggiungere l'acqua tonica e mescolare;https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg;4 oz Tonic water, 1 oz Gin, 1 oz Absolut Vodka
ACID;Shot;Alcoholic;Shot glass;Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.;Gering den 151 gefolgt von der 101, die mit einer Cola oder Dr. Pepper Chaser serviert wird.;Versa prima il Bacardi 151 seguito dal 101, servito con una Coca-Cola.;https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg;1 oz Wild Turkey, 1 oz Bacardi 151 proof rum
A. J.;Ordinary Drink;Alcoholic;Cocktail glass;Shake ingredients with ice, strain into a cocktail glass, and serve.;N/A;Shakerare gli ingredienti con ghiaccio, filtrare in una coppetta da cocktail e servire.;https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg;1 oz Grapefruit juice, 1 1/2 oz Applejack
Affair;Ordinary Drink;Alcoholic;Highball glass;Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.;Gießen Sie Schnaps, Orangensaft und Cranberrysaft über Eis in ein Highball-Glas. Mit Club-Soda überziehen und servieren.;Versare la grappa, il succo d'arancia e il succo di mirtillo rosso sul ghiaccio in un bicchiere highball. Completare con la soda club e servire.;https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg;Club soda, 2 oz Cranberry juice, 2 oz Orange juice, 2 oz Strawberry schnapps
Apello;Other/Unknown;Non alcoholic;Collins Glass;Stirr. Grnish with maraschino cherry.;Rühren. Mit Maraschinokirsche garnieren.;Versare tutti gli ingredienti in un mixing glass. Mescolate.  Guarnire con una ciliegia al maraschino.;https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg;1 Maraschino cherry, 1 cl Apple juice, 3 cl Grapefruit juice, 4 cl Orange juice
Avalon;Ordinary Drink;Alcoholic;Highball glass;Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.;Füllen Sie ein hohes Glas mit Eis. Legen Sie den Finlandia Wodka, Zitronen- und Apfelsäfte, Pisang Ambon und geben Sie Limonade dazu. Leicht umrühren und mit einer spiralförmigen Gurkenhaut und einer roten Kirsche garnieren. Die Gurke sorgt für Schärfe und sieht attraktiv aus. Dieses von Timo Haimi kreierte Getränk erhielt 1991 den ersten Preis beim Finlandia Wodka Long Drink Wettbewerb.;Riempi un bicchiere alto di ghiaccio.  Versare la Vodka, succhi di limone, mela, Pisang Ambon o un liquore alla banana e completare con la limonata.  Mescolare leggermente e guarnire con una buccia di cetriolo a spirale e una ciliegia rossa.  Il cetriolo fornisce la scorza e sembra attraente.  Questa bevanda, creata da Timo Haimi, ha vinto il primo premio nel 1991 Finlandia Vodka Long Drink Competition.;https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg;Lemonade, 1 1/2 part Lemon juice, 6 parts Apple juice, 1 part Pisang Ambon, 3 parts Vodka
Abilene;Ordinary Drink;Alcoholic;Highball glass;Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.;N/A;Versare tutti gli ingredienti in un bicchiere highball riempito di cubetti di ghiaccio. Mescolare bene.;https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg;3 oz Orange juice, 2 oz Peach nectar, 1 1/2 oz Dark rum
Almeria;Ordinary Drink;Alcoholic;Cocktail glass;In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.;In einem Shaker, der halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut schütteln. In ein Cocktailglas abseihen.;In uno shaker riempito a metà con cubetti di ghiaccio, unire tutti gli ingredienti.Agitare bene.Filtrare in un bicchiere da cocktail.;https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg;1 Egg white, 1 oz Kahlua, 2 oz Dark rum
Addison;Cocktail;Alcoholic;Martini Glass;Shake together all the ingredients and strain into a cold glass.;Alle Zutaten vermengen und in ein kaltes Glas abseihen.;Shakerare insieme tutti gli ingredienti e filtrare in un bicchiere freddo.;https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg;1 1/2 shot Vermouth, 1 1/2 shot Gin
Acapulco;Ordinary Drink;Alcoholic;Old-fashioned glass;Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.;Alle Zutaten (außer Minze) mit Eis mischen und schütteln und in ein old-fashioned Glas über Eiswürfel abseihen. Den Minzzweig dazugeben und servieren.;Unire e scuotere tutti gli ingredienti (tranne la menta) con ghiaccio e filtrare in un bicchiere vecchio stile su cubetti di ghiaccio.Aggiungere il rametto di menta e servire.;https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg;1 Mint, 1 Egg white, 1 tsp Sugar, 1 tblsp Lime juice, 1 1/2 tsp Triple sec, 1 1/2 oz Light rum
Affinity;Ordinary Drink;Alcoholic;Cocktail glass;In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.;In einem Mischglas, das halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut umrühren. In ein Cocktailglas abseihen.;In un mixing glass riempito a metà con cubetti di ghiaccio, unire tutti gli ingredienti. Filtrare in un bicchiere da cocktail. Mescolare bene.;https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg;2 dashes Orange bitters, 1 oz Dry Vermouth, 1 oz Sweet Vermouth, 1 1/2 oz Scotch
Applecar;Ordinary Drink;Alcoholic;Cocktail glass;Shake all ingredients with ice, strain into a cocktail glass, and serve.;Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.;Shakerare tutti gli ingredienti con ghiaccio, filtrare in una coppetta da cocktail e servire.;https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg;1 oz Lemon juice, 1 oz Triple sec, 1 oz Applejack
Aviation;Cocktail;Alcoholic;Cocktail glass;Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.;Alle Zutaten in den mit Eis gefüllten Cocktailshaker geben. Gut schütteln und in ein Cocktailglas abseihen. Mit einer Kirsche garnieren.;Aggiungi tutti gli ingredienti in uno shaker pieno di ghiaccio.  Shakerare bene e filtrare in una coppetta da cocktail.  Guarnire con una ciliegia.;https://www.thecocktaildb.com/images/media/drink/trbplb1606855233.jpg;1.5 cl maraschino liqueur, 1.5 cl lemon juice, 4.5 cl Gin
Alexander;Ordinary Drink;Alcoholic;Cocktail glass;Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.;Alle Zutaten mit Eis schütteln und in ein Cocktailglas abseihen. Muskatnuss darüber streuen und servieren.;Shakerare tutti gli ingredienti con ghiaccio e filtrare il contenuto in un bicchiere da cocktail. Cospargere di noce moscata e servire.;https://www.thecocktaildb.com/images/media/drink/0clus51606772388.jpg;Nutmeg, 2 oz Light cream, 1/2 oz white Creme de Cacao, 1/2 oz Gin
Algonquin;Ordinary Drink;Alcoholic;Cocktail glass;Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.;Alle Zutaten mit Eis mischen und schütteln, Inhalt in ein Cocktailglas abseihen und servieren.;Unire e scuotere tutti gli ingredienti con ghiaccio, filtrare il contenuto in una coppetta da cocktail e servire.;https://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg;1 oz Pineapple juice, 1 oz Dry Vermouth, 1 1/2 oz Blended whiskey
Allegheny;Ordinary Drink;Alcoholic;Cocktail glass;Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.;Alle Zutaten (außer Zitronenschale) mit Eis schütteln und in ein Cocktailglas abseihen. Mit der Drehung der Zitronenschale garnieren und servieren.;Shakerare tutti gli ingredienti (tranne la buccia di limone) con ghiaccio e filtrare in una coppetta da cocktail.Completare con la scorza di limone e servire.;https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg;1 twist of Lemon peel, 1 1/2 tsp Lemon juice, 1 1/2 tsp Blackberry brandy, 1 oz Bourbon, 1 oz Dry Vermouth
Artillery;Ordinary Drink;Alcoholic;Cocktail glass;Stir all ingredients with ice, strain into a cocktail glass, and serve.;Alle Zutaten mit Eis verrühren, in ein Cocktailglas abseihen und servieren.;Mescolare tutti gli ingredienti con ghiaccio, filtrare in una coppetta da cocktail e servire.;https://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg;2 dashes Bitters, 1 1/2 oz Gin, 1 1/2 tsp Sweet Vermouth
Afterglow;Cocktail;Non alcoholic;Highball Glass;Mix. Serve over ice.;Mischen. Auf Eis servieren.;Servire con ghiaccio.Mescolare.;https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg;4 parts Pineapple juice, 4 parts Orange juice, 1 part Grenadine
Autodafé;Ordinary Drink;Alcoholic;Highball glass;Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.;Mischen und mit Sodawasser auffüllen. Getrunken von Finnen an einem sonnigen Tag zu jeder Jahreszeit und an jedem Tag.;Mescolare e riempire con acqua di seltz. Bevuto dai finlandesi in una giornata di sole in qualsiasi momento dell'anno e del giorno.;https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg;Soda water, 1 dash Lime juice, 4 cl Vodka
Afternoon;Coffee / Tea;Alcoholic;Collins Glass;Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.;In ein passendes Glas geben, ohne Eis. Auf Wunsch mit Sahne überziehen. Direkt serviert.;Incorpora un bicchiere adatto, senza ghiaccio.  Crema in cima se lo si desidera.  Servito direttamente.;https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg;Cream, 4 cl hot Coffee, 1 1/2 Frangelico, 1 cl Baileys irish cream, 1 cl Kahlua
After sex;Ordinary Drink;Alcoholic;Highball glass;Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar;Gießen Sie den Wodka und die Sahne über einige Eiswürfel in ein hohes Glas und füllen Sie ihn mit Saft. Damit es voll ist, verzieren Sie die Oberseite des Glases mit einer Grenadine und Zucker.;Versare la vodka e la crema su alcuni cubetti di ghiaccio in un bicchiere alto e riempire di succo.  Per renderlo bello, versare nella parte superiore del bicchiere un po’ di granatina e nei bordi mettere un po’ di zucchero;https://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg;Orange juice, 1 cl Creme de Banane, 2 cl Vodka
B-53;Shot;Alcoholic;Collins Glass;Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52;Schichte die Kahlua, Sambucca und Grand Marnier in dieser Reihenfolge in ein Schnapsglas ein. Besser als B-52;Metti Kahlua, Sambuca e Grand Marnier in un bicchierino in quest'ordine.;https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg;1/3 shot Grand Marnier, 1/3 shot Sambuca, 1/3 shot Kahlua
B-52;Shot;Alcoholic;Shot glass;Layer ingredients into a shot glass. Serve with a stirrer.;Zutaten in ein Schnapsglas schichten. Mit einem Rührstab servieren.;Metti gli ingredienti in un bicchiere da shot a strati.  Servire con una paletta.;https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg;1/4 Kahlua, 1/3 Grand Marnier, 1/3 Baileys irish cream
Bijou;Cocktail;Alcoholic;Cocktail glass;Stir in mixing glass with ice and strain;In Mischglas mit Eis verrühren und abseihen.;Mescolare nel mixing glass con ghiaccio e filtrare;https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg;1 oz Sweet Vermouth, 1 oz Gin, 1 oz Green Chartreuse, 1 dash Orange Bitters
Boxcar;Ordinary Drink;Alcoholic;Whiskey sour glass;In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.;In einem Shaker, der halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut schütteln. In ein Sour Glas abseihen.;In uno shaker riempito a metà con cubetti di ghiaccio, unire tutti gli ingredienti.Filtrare in un bicchiere sour.Agitare bene.;https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg;1 Egg white, 1/2 tsp Grenadine, 1 tsp Lemon juice, 1 oz Triple sec, 1 1/2 oz Gin
Big Red;Shot;Alcoholic;Shot glass;Pour ingredients into 1 ounce shot glass;Zutaten in 1 Schnapsglas gießen.;Versare gli ingredienti in un bicchierino da shot.;https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg;1/2 oz Goldschlager, 1/2 oz Irish cream
Bellini;Ordinary Drink;Alcoholic;Champagne Flute;Pour peach purée into chilled flute, add sparkling wine. Stir gently.;Pfirsichpüree in das gekühlte Sektglas gießen, Sekt hinzufügen. Vorsichtig umrühren.;Versare la purea di pesche in una flûte fredda, aggiungere lo spumante.;https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg;1 oz Peach schnapps, 6 oz Champagne
Bramble;Ordinary Drink;Alcoholic;Old-Fashioned glass;Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.;Füllen Sie das Glas mit zerstoßenem Eis. Den Gin, den Zitronensaft und den Sirup dazugeben. Rühren Sie um und gießen Sie dann Brombeerlikör kreisförmig darüber, um einen Marmoriereffekt zu erzielen. Mit zwei Brombeeren und einer Zitronenscheibe garnieren.;Riempi il bicchiere con ghiaccio tritato.  Aggiungi gin, succo di limone e sciroppo semplice.  Mescolare e poi versare il liquore alla mora in modo circolare per creare un effetto marmorizzato.  Guarnire con due more e una fetta di limone.;https://www.thecocktaildb.com/images/media/drink/lvzl3r1504372526.jpg;1.5 cl Creme de Mure, 1 cl Sugar syrup, 1.5 cl lemon juice, 4 cl Gin
Balmoral;Ordinary Drink;Alcoholic;Cocktail glass;In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.;In einem Mischglas, das halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut umrühren. In ein Cocktailglas abseihen.;In un mixing glass riempito a metà con cubetti di ghiaccio, unire tutti gli ingredienti. Filtrare in un bicchiere da cocktail.Mescolare bene.;https://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg;2 dashes Bitters, 1/2 oz Dry Vermouth, 1/2 oz Sweet Vermouth, 1 1/2 oz Scotch
Bluebird;Ordinary Drink;Alcoholic;Cocktail glass;In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.;In einem Mischglas, das halb mit Crushed Ice gefüllt ist, den Gin, Triple Sec, Curacao und Bitter vermengen. Gut umrühren. In ein Cocktailglas abseihen und mit Zitronenschale und Kirsche garnieren.;In un mixing glass riempito a metà con ghiaccio tritato, unisci il gin, il triple sec, il Curacao e il bitter.Mescolare bene.Filtrare in una coppetta da cocktail e guarnire con la scorza di limone e la ciliegia.;https://www.thecocktaildb.com/images/media/drink/5jhyd01582579843.jpg;1 twist of Lemon peel, 1 Maraschino cherry, 2 dashes Bitters, 1/2 oz Blue Curacao, 1/2 oz Triple sec, 1 1/2 oz Gin
Brooklyn;Cocktail;Alcoholic;Cocktail glass;Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.;N/A;Unisci gli ingredienti con il ghiaccio e mescola finché non si saranno raffreddati. Filtrare in una coppetta da cocktail ghiacciata.;https://www.thecocktaildb.com/images/media/drink/ojsezf1582477277.jpg;1 Maraschino Cherry, 3 dashes Angostura Bitters, 1/4 oz Maraschino Liqueur, 1 oz Dry Vermouth, 2 oz Rye Whiskey
Boomerang;Ordinary Drink;Alcoholic;Cocktail glass;In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.;In einem Mischglas, das halb mit Eiswürfeln gefüllt ist, den Gin, Wermut, Bitter und Maraschino-Likör vermengen. Gut umrühren. In ein Cocktailglas abseihen und mit der Kirsche garnieren.;In un mixing glass riempito a metà con cubetti di ghiaccio, unire il gin, il vermouth, il bitter e il liquore al maraschino.Mescolare bene.Filtrare in una coppetta da cocktail e guarnire con la ciliegia.;https://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg;1 Maraschino cherry, 1/2 tsp Maraschino liqueur, 2 dashes Bitters, 1/2 oz Dry Vermouth, 2 oz Gin
Bora Bora;Cocktail;Non alcoholic;Highball glass;Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.;"In einem Mixer oder Shaker zubereiten, in einem Highball-Glas ""On the Rocks"" servieren. Mit 1 Scheibe Ananas und einer Kirsche garnieren.";Preparare in un frullatore o uno shaker, servire in un bicchiere highball con ghiaccio.Guarnire con 1 fetta di ananas e una ciliegia.;https://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg;1 cl Grenadine, 1 cl Lemon juice, 6 cl Passion fruit juice, 10 cl Pineapple juice
Barracuda;Ordinary Drink;Alcoholic;Margarita glass;Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.;Schütteln Sie die Zutaten mit Eis. In ein Glas abseihen, mit Sekt übergießen.;Shakerare e versare gli ingredienti con ghiaccio.  Filtrare in un bicchiere, completare con spumante.;https://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg;top up Prosecco, 1 dash Lime Juice, 6 cl Pineapple Juice, 1.5 cl Galliano, 4.5 cl Rum
