Cocktail Name;Category;Alcoholic;Glassware;Preparation;PreparationDE;PreparationIT;DrinkThumb;Ingredients;Bartender;Bar/Company;Location;Garnish;Notes
Happiness;N/A;N/A;Coupe;Add all ingredients in a cocktail shaker, shake, fine strain into a chilled coupe or martini glass. Garnish with edible flower.  *Jasmine Tea/Rice-Infused Junipero Gin: -- 1 bottle (750ml) Junípero gin -- .5 cup Jasmine Tea -- .5 cup Jasmine Rice (wash rice to eliminate starch)  Sous Vide Version: Wash the jasmine rice to clean out the starch. Fill container with hot water. Set sous vide at 52c. Add vacuum seal bag with jasmine tea/rice in bath. Let sit in bath for 45 minutes. Take the bag out of bath and sit it in ice bath for 15 minutes. Open bag and fine strain back into bottle.  Infusion Version: Wash the jasmine rice to clean out the starch. In a cambro/mason jar, add Junípero gin and jasmine tea and rice. Let infuse for 24 hours. Fine strain into bottle.  **House-made Honey Syrup:   Put equal parts of honey (10 oz) and water (10 oz) in a saucepan. Boil, then turn down to a simmer and stir until the honey is completely dissolved.;N/A;N/A;N/A;1.5 oz Jasmine Tea/Rice-Infused Junipero Gin*, .75 oz Leopold Bros. Sour Apple Liqueur, .75 oz Lime, .5 oz House-made Honey Syrup, .25 oz Lo-Fi Gentian Amaro;Danny Louie;Mister Jiu's;San Francisco;Edible Flower;Junipero Gin 20th Anniversary Signature Cocktail
Fourth Generation;N/A;N/A;Nick & Nora;Add all ingredients in a mixing glass and stir with ice. Strain into a Nick & Nora coupe. Garnish with a ghost orange twist.;N/A;N/A;N/A;1.5 oz Mezcal, .25 oz Luxardo Espresso Italian Liqueur, .75 oz Luxardo Bitter Bianco, 2 dash Salted Chocolate Bitters;Ken Luciano;The Forgery;San Francisco;Ghost Orange Twist;N/A
West Coast Punch;N/A;N/A;Nick & Nora;Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with lime pinwheel and bing cherry.;N/A;N/A;N/A;1.5 oz Junipero Gin, .75 oz Pineapple Juice, .5 oz Monin Strawberry Puree, 7 Mint Leaves, .5 oz Lemon Sour, 1 oz Lemon Lime Soda;Caterina Miltenberger;N/A;N/A;Lime Pinwheel, Bing Cherry;N/A
Mille Miglia;N/A;N/A;Nick & Nora;Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with lime pinwheel and bing cherry.;N/A;N/A;N/A;.75 oz Luxardo Maraschino Liqueur, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, 1  Basil Leaf, .25 oz Lime Juice, 5 dash Rose Water;Caterina Miltenberger;N/A;N/A;Lime Floral, Bing Cherry;N/A
Paradiso Sun;N/A;N/A;Nick & Nora;Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with orange slice and 1 bar spoon juniper berries.;N/A;N/A;N/A;1.5 oz Junipero Gin, 1 oz Lime Sour, .5 oz Orange Juice, .25 oz Dry Curacao;Caterina Miltenberger;N/A;N/A;Orange Wedge, Juniper Berries;N/A
Lux Orchard Lemonade;N/A;N/A;N/A;Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain over fresh ice. Garnish with Luxardo Cherry.;N/A;N/A;N/A;.75 oz Luxardo Maraschino Liqueur, .5 oz Junipero Gin, .75 oz Monin Apple Puree, .25 oz Lemon Juice, 1 dash Fennel Bitters;Caterina Miltenberger;N/A;N/A;Luxardo Cherry;N/A
Cut & Rum;N/A;N/A;Smoked Glass;Add all ingredients in mixing glass, stir and strain over 2x2 ice cube in smoked glass on hickory board. Garnish with orange peel and clothes pin.;N/A;N/A;N/A;.75 oz Banks 5 Rum, .75 oz Denizen Aged White Rum , .75 oz Denizen Aged White Rum , .75 oz Luxardo Amaro Abano;Jose Pereiro;Drift Fish House & Oyster Bar;Atlanta;Orange Peel;N/A
The King's Spring Daisy;N/A;N/A;N/A;Add all ingredients into a cocktail shaker. Shake and double strain into a glass. Garnish with a sprig of mint.;N/A;N/A;N/A;1 oz King's Ginger Liqueur, 1 oz H by HINE, .25 oz Lemon juice, .25 oz Simple syrup, 2 dash Fee Brothers Rhubard bitters;N/A;N/A;N/A;Mint sprig;N/A
The King's Ginger Spiced Punch;N/A;N/A;Punch Bowl;Add all ingredients into a punch bowl or pitcher and stir. Add lemon wheels and strawberries to garnish.;N/A;N/A;N/A;25 oz King's Ginger Liqueur, 37.5 oz Cranberry Juice, 37.5 oz Fever-Tree Lemonade;N/A;N/A;N/A;Lemon Wheel, Strawberry;N/A
War of the Roses;N/A;N/A;Rocks Glass;Add all ingredients into a punch bowl. Serve in small rocks glasses.;N/A;N/A;N/A;.75 c Junipero Gin, .75 c C. Drouin Calvados Selection, .5 c Lemon Juice, .5 c Ginger-Vanilla Syrup, 4 dash Angostura Bitters, 1 bottle Sparkling Rose;Kevin Diedrich;N/A;N/A;Cinnamon sticks, Lemon wheels, Apple slices;N/A
The King's Medicine;N/A;N/A;Coupe;Add all ingredients into a shaker with ice, shake furiously. Fine strain into chilled coupe. Garnish with a lemon twist.;N/A;N/A;N/A;1.5 oz King's Ginger Liqueur, .5 oz Luxardo Fernet, .25 oz BenRiach Curiositas Single Malt 10 YO, .75 oz Lemon Juice;Matt Grippo;Blackbird;San Francisco;Lemon Twist;N/A
A.Nise;N/A;N/A;Rocks Glass;Add all ingredients into a shaker with ice. Shake. Strain over fresh ice into a rocks glass. Garnish with star anise and two slices lemongrass.;N/A;N/A;N/A;1.5 oz Pink Pigeon Rum, .5 oz Luxardo Amaretto di Saschira, .5 oz Osha Falernum, .5 oz Lemon juice, 1 oz Pineapple juice, 3 dash Orange bitters;Kate KaiKaew;Osha;San Francisco;Star Anise, Lemongrass Slices;N/A
Down the Rabbit Hole;N/A;N/A;Collins;Add all ingredients into a shaker, shake strain into a collins glass, fill with crushed ice, garnish with mint leaves.;N/A;N/A;N/A;Junipero Gin, Lemon, Elder Flower Liquor, Honey Syrup, Carrot Juice;Elmer Mejicano;Tony's Pizza Napoletana;San Francisco;Mint Leaves;N/A
Peace Daiquiri;N/A;N/A;Coupe;Add all ingredients into shaking tin. Add ice cubes to tin. Shake vigorously and strain into coupe. Garnish with Luxardo Maraschino Cherry.;N/A;N/A;N/A;1.5 oz Pink Pigeon Rum, .5 oz Luxardo Maraschino Liqueur, .75 oz Fresh Lime Juice, .5 oz Simple Syrup, .5 oz Fresh Grapefruit Juice;Kate Grutman;N/A;N/A;Luxardo Cherry;N/A
The King's Autumn Cobbler;N/A;N/A;N/A;Add all ingredients over ice. Stir with a barspoon. Squeeze lemon wedges and add blackberries.;N/A;N/A;N/A;1 oz King's Ginger Liqueur, .25 oz Briottet Creme de Mure (Blackberry), 1 top Pear Cider;N/A;N/A;N/A;3 Lemon Wedges, 3 Blackberries;N/A
The Mad King;N/A;N/A;Highball Glass;Add all ingredients to a mixing glass and stir for 15-20 seconds. Strain into a highball filled with fresh ice.;N/A;N/A;N/A;2 oz Glenrothes Vintage Reserve, 1 oz King's Ginger Liqueur, .25 oz Honey Syrup, 1 dash Angostura Bitters;N/A;N/A;N/A;Flamed Lemon Peel;N/A
The Robert Baratheon;N/A;N/A;Coupe;Add all ingredients to a mixing glass filled with ice. Stir until cold and strain into a chilled coupe.;N/A;N/A;N/A;2 oz Single Malt Scotch, .25 oz Dry Vermouth, .25 oz Luxardo Maraschino Liqueur, 2 dash Angostura Bitters;N/A;N/A;N/A;Luxardo Cherry;Photo credit: liquor.com
Lux Shandy;N/A;N/A;Highball Glass;Add all ingredients to a mixing glass. Add ice and integration shake. Pour over fresh ice into a highball and top with California Lager. Garnish with a half orange wheel.;N/A;N/A;N/A;1 oz Luxardo Aperitivo, .5 oz Lemon Juice, .5 oz Orange Juice, .5 oz Simple Syrup, 1 top Anchor California Lager;Naomi Levy;Eastern Standard;Boston;Half Orange Wheel;"First served at Tales of the Cocktail 2014 ""Luxardo CAP Lunch"""
Fiona Graham;N/A;N/A;Nick & Nora;Add all ingredients to a mixing glass. Stir until thoroughly chilled (~30 seconds). Strain into a chilled cocktail glass. Serve with one big rock. Garnish with an expressed orange swath.;N/A;N/A;N/A;1.5 oz Luxardo Bitter Bianco, 1 oz Junmai Sake, .25 oz Coconut Rum, 1 dash Orange Bitters, 1 dash Coconut Vinegar;Chris Morris;N/A;Houston;Expressed Orange Swath;N/A
Le Sang et Sable;N/A;N/A;Stemmed Cordial Glass;Add all ingredients to a shaker and fill with ice. Shake vigorously and strain into chilled stemmed cordial glass. Garnish with cocktail cherry and lemon twist.;N/A;N/A;N/A;1.5 oz H by HINE, .5 oz Dubonnet Rouge, .5 oz Cherry Herring, .375 oz Blood Orange Juice, .375 oz Lemon Juice;Toby Cecchini;N/A;N/A;Cherry, Lemon Twist;Photo credit: liquor.com
Martinez;N/A;N/A;Cocktail Glass;Combine ingredients in an ice-filled mixing glass and stir for 20 to 30 seconds, or until well chilled. Strain into a chilled cocktail glass and garnish with the lemon peel.;N/A;N/A;N/A;2 oz Old Tom Gin, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .25 oz Luxardo Maraschino Liqueur, 2 dash Orange Bitters;Jeff Hollinger;N/A;N/A;Lemon Peel;N/A
Amaretto Sour BV-Style;N/A;N/A;Coupe;Add all ingredients to a shaker and shake well without ice to emulsify the egg white. Add ice and shake hard until the drink is chilled. Strain through a fine-mesh strainer into a chilled coupe and garnish.;N/A;N/A;N/A;1.5 oz Luxardo Amaretto di Saschira, .5 oz Bourbon, .5 oz Fresh Lime Juice, .75 oz Pineapple Juice, .75 oz Fresh Egg White, 2 dash Angostura Bitters;Scott Baird;The Bon Vivants;San Francisco;Cherry, Freshly Grated Cinnamon;"Cocktail appeared in <a href=""http://imbibemagazine.com/pig-punch-cocktail-series-amaretto-sour/"" target=""_blank"" rel=""nofollow"">IMBIBE EVENTS + PROMOTIONS PIG N PUNCH JUNE 15, 2016</a>"
Julia's Child;N/A;N/A;Cocktail Glass;Add all ingredients to a shaker and shake with ice, then double strain into a cocktail glass. Garnish with a celery leaf.;N/A;N/A;N/A;1 oz Broker's Gin, 1 oz Karlsson's Gold Vodka, 2 oz Celery Root Puree, .5 oz Fresh Lemon Juice, .75 oz Simple Syrup, 3 dash Apple Bitters, 1 dash Angostura Bitters;Calvin Marty;Best Intentions;Chicago;Celery Leaf;N/A
The Bitter King;N/A;N/A;Martini Glass;Add all ingredients to a shaker, add ice, shake and strain into a martini glass garnish with a Luxardo Cherry.;N/A;N/A;N/A;2 oz King's Ginger Liqueur, .75 oz Lemon Juice, .75 oz Simple Syrup;N/A;N/A;N/A;Luxardo Cherry;N/A
La Maracuja;N/A;N/A;N/A;Add all ingredients to blender and blend throughly. Double strain into a glass with cracked ice garnish with a mint sprig and fresh grated nutmeg.;N/A;N/A;N/A;2 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, 1.5 oz Fresh Passion Fruit, 1 oz Condense Milk, .25 oz Brown Sugar Syrup (2:1);Luis Hernandez;White Oak Tavern;New York;Mint Sprig, Fresh Grated Nutmeg;N/A
San Francisco Strong (Skrong);N/A;N/A;Cocktail Glass;Add all ingredients to tin and dry shake. Add ice and vigorously shake for 12 seconds. Fine strain into chilled cocktail glass. Garnish by sprinkling matcha powder (.25 tsp).   *Rich Simple Syrup:  -- 2 cups Granulated Sugar -- 1 cup Water  Combine sugar and water in a small saucepan over medium heat and stir until sugar dissolves. Remove from heat, let cool to room temperature and transfer to a clean glass jar. Cover and keep refrigerated for up to 2 weeks.;N/A;N/A;N/A;.75 oz Junipero Gin, .75 oz Tempus Fugit Kina L'Aero d'Or, .75 oz Luxardo Bitter Bianco, .75 oz Lemon Juice, .75 oz Egg White, .5 oz Rich Simple Syrup;Matt Grippo;Blackbird;San Francisco;Matcha Powder;N/A
Nuestra Julep;N/A;N/A;N/A;Add all ingredients together.;N/A;N/A;N/A;1 oz High West Oat Whisky, .5 oz King's Ginger Liqueur, .5 oz Peach Shrub, .75 oz Lime, 1 dash Angostura Bitters, 1 dash Grapefruit Bitters;David Ruiz;Padrecito;San Francisco;Basil Leaf;Featured on the Padrecito cocktail menu august (fall) 2015
Pisco Punch;N/A;N/A;Wine Glass;Add all liquid ingredients into a cocktail shaker with ice. Shake well and strain into an ice filled white wine glass. Garnish by adding pineapple chunks and Luxardo Cherry.;N/A;N/A;N/A;2 oz BarSol Selecto Italia Pisco, 2 oz Pineapple Juice, 1 oz Fresh Lime Juice, 1 oz Simple Syrup;N/A;N/A;N/A;Luxardo Cherry, Pineapple Chunks;The original SF Pisco Punch recipe from the 1800s is made with a pisco from Italia grapes known as “Rosa del Peru”.
La Batida Loca;N/A;N/A;Collins;Add all of the ingredients, except seeds, to a shaker with ice and shake well. Double strain onto fresh ice into a collins glass. Garnish with 1 spoon of passion fruit seeds.  *Pilon Syrup: Homemade 50/50 simple syrup using Pilon Sugar made from Mexican Sugar Cane.;N/A;N/A;N/A;2 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, 1.5 oz Sweetened Condensed Milk, 1 oz Passion Fruit (fresh or puree), .5 oz Pilon Syrup;Paul Sauter;Tippling Hall;Chicago;Passion Fruit Seeds;N/A
Neighborhood Negroni;N/A;N/A;Cocktail Glass;Add all the ingredients to a mixing glass and fill with ice. Stir until well chilled and strain into a chilled cocktail glass. Garnish with a flamed orange twist.;N/A;N/A;N/A;1 oz Junipero Gin, 1 oz Campari, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso;Tony Abou-Ganim;N/A;N/A;Flamed Orange Twist;Photo credit: Tim Turner (The Modern Mixologist: Contemporary Classic Cocktails)
Rothes Roy;N/A;N/A;N/A;Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a chilled cocktail glass. Garnish with a Luxardo Cherry.;N/A;N/A;N/A;2 oz Glenrothes Vintage Reserve, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 3 dash Angostura Bitters;N/A;N/A;N/A;Luxardo Cherry;N/A
Angel's Face;N/A;N/A;Cocktail Glass;Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a cocktail glass. Garnish with a slice of orange peel.;N/A;N/A;N/A;1 oz No.3 London Dry Gin, 1 oz Applejack, 1 oz Luxardo Apricot Liqueur;Jay Zimmerman;N/A;N/A;Orange Peel Slice;Photo credit: liquor.com
Kiss;N/A;N/A;Martini Glass;Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a martini glass. Garnish with an apple slice.;N/A;N/A;N/A;2 oz Gin, .75 oz Sweet Vermouth, .75 oz Dubonnet Rouge, .25 oz Luxardo Maraschino Liqueur;Brian Miller;N/A;N/A;Apple Slice;Photo credit: liquor.com
The Cappa;N/A;N/A;Wine Glass;Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a small wine or cocktail glass. Twist a slice of lemon peel over the drink and use as garnish.;N/A;N/A;N/A;1.5 oz Gin, 1.5 oz Pineau des Charentes, .5 oz Luxardo Maraschino Liqueur;Franky Marshall;N/A;N/A;Lemon Peel Twist;N/A
The Inside Job;N/A;N/A;Old Fashioned Glass;Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into an old fashioned glass filled with fresh ice. Garnish with a Luxardo Cherry and an orange slice or twist.;N/A;N/A;N/A;2 oz Bourbon, .25 oz Luxardo Maraschino Liqueur, .5 oz Simple Syrup, 1 dash Angostura Bitters, 1 dash Vieux Pontarlier Absinthe Francaise Superieure;Jared Schubert;N/A;N/A;Luxardo Cherry, Orange Twist;Photo credit: liquor.com
The Sun Also Rises;N/A;N/A;Coupe;Add all the ingredients to a shaker and fill with ice. Shake, and strain into a chilled coupe glass filled with crushed ice.;N/A;N/A;N/A;2 oz Banks 5 Island Rum, .75 oz Fresh Lime Juice, .5 oz Fresh Grapefruit Juice, .5 oz Luxardo Maraschino Liqueur, 1 tsp Vieux Pontarlier Absinthe Francaise Superieure;Jim Meehan;N/A;N/A;N/A;N/A
Trato Hecho;N/A;N/A;Coupe;Add all the ingredients to a shaker and fill with ice. Shake, and strain into a coupe glass.  *Pineapple-Infused Mezcal: Peel, core and chop a whole pineapple into 1-inch cubes. Add to a large jar or other container with a lid, and add a 750-mL bottle of mezcal. Let stand for 5 days and strain before using.;N/A;N/A;N/A;.75 oz Pineapple-Infused Mezcal, .75 oz Green Chartreuse, .75 oz Luxardo Maraschino Liqueur, .75 oz Lime Juice;Phil Ward;N/A;N/A;N/A;Photo credit: liquor.com
Nick & Janae;N/A;N/A;Coupe;Add cognac, amaro, lemon, strawberry syrup and fresh cracked egg white of a whole egg to tin. Dry shake without ice approx. 5 seconds to emulsify. Add ice and shake hard again approx. 10 seconds. Fine strain into coupe. Crack drag black pepper over surface. Serve and enjoy.  *Strawberry syrup- 1 cup fresh strawberries 1 cup water 1cup sugar. Blend in vitamix then heat on stove and stir until hot to bind sugars, don't boil. Bottle and refrigerate.;N/A;N/A;N/A;1.5 oz H by HINE, .5 oz Luxardo Amaro Abano, .75 oz Fresh Lemon Juice, .75 oz Strawberry Syrup, .5 oz Egg White;David Ruiz;Harper & Rye;San Francisco;Black Pepper;N/A
On the Wings of Eagles;N/A;N/A;Rocks Glass;Add cognac, rye, Chartreuse and bitters to a mixing glass with ice, and stir until cold. Add splash of fernet to a rocks glass, roll the glass to coat the sides, and discard the excess. Add one large ice cube to the glass, strain the drink over the cube, and garnish with a mint sprig.;N/A;N/A;N/A;1.5 oz H by HINE, .75 oz Rye Whiskey, .75 oz Green Chartreuse, 2 dash Lemon Bitters, 1 splash Fernet-Branca;Matthew Polzin;The Olde Bar;Philadelphia;Mint Sprig;Photo credit: liquor.com
Mule Pigeon;N/A;N/A;Highball Glass;Add cubed ice to a highball, add 2 dashes of Angostura Bitters, top with ginger beer, garnish with a sprig of basil.;N/A;N/A;N/A;40 ml Pink Pigeon Rum, 2 dash Angostura Bitters, 1 top Ginger Beer;Ryan Chetiyawardana;N/A;N/A;Basil Sprig;N/A
Cuba Liberation;N/A;N/A;N/A;Add first three ingredients to a mixing glass with shaker and lightly shake with ice. Pour mixture into a Collins or highball glass over ice. Top with Mexican Coke (or any coca cola as a substitute) and pour Luxardo Fernet on top to float. Garnish with a lime wheel and fresh mint sprig.;N/A;N/A;N/A;2 oz Pink Pigeon Rum, 1.5 oz Fresh lime juice, .25 oz Simple syrup, Mexican Coca Cola, 1 float Luxardo Fernet;N/A;N/A;N/A;Lime wheel, Mint sprig;N/A
Off the Radar;N/A;N/A;Collins;"Add gin, lemon juice, maraschino liqueur, and liqueur de violette to a collins glass filled with ice. Add tonic water; stir to combine. Garnish with a lemon wheel.";N/A;N/A;N/A;1.5 oz Junipero Gin, .5 oz Lemon Juice, .25 oz Luxardo Maraschino Liqueur, .25 oz Liqueur de Violette, 4 oz Tonic Water;N/A;N/A;N/A;Lemon Wheel;N/A
Maraschino Side Car;N/A;N/A;N/A;Add ingredients in a mixing glass with fresh ice. Shake vigorously strain over fresh ice. Garnish with lemon peel to fit in glass and 1 dash of Abbott's Aromatic Bitters. Optional sugar rim.;N/A;N/A;N/A;.75 oz Luxardo Maraschino Liqueur, .25 oz Dry Curacao, .5 oz Bourbon Rye, .25 oz Lemon Juice;Caterina Miltenberger;N/A;N/A;Lemon Peel, Abbott's Aromatic Bitters;N/A
The Royal Buck;N/A;N/A;Collins;Add ingredients to a mixing glass except club soda. Shake over ice, strain over ice into a collins glass, top with club soda. Garnish with a lemon wedge and candied ginger on a pick.;N/A;N/A;N/A;1 oz No.3 London Dry Gin, 1 oz King's Ginger Liqueur, .75 oz Lemon juice, .5 oz Simple syrup, 2 oz Club soda;N/A;N/A;N/A;Lemon wedge, Candied ginger;N/A
Rx Hot Toddy;N/A;N/A;Mug;Add ingredients to a mug and stir.  *Honey-Ginger Syrup: Combine 1 part ginger with 2 parts honey and 1 cup of water and boil. Reduce heat and simmer for 5 mins. Strain and discard solids.  **Ghost-Pepper-Infused Campari: Soak 1 ghost pepper in a 16 oz. bottle of Campari for up to 24 hrs (reduce infusion time to reduce heat).  ***Cinnamon Tincture: Soak 3 cinnamon sticks in 16 oz. of any neutral grain alcohol that is high proof (regular 80-proof vodka is great) for up to 14 days. Strain and discard the sticks.;N/A;N/A;N/A;1.5 oz Old Potrero Straight Rye Whiskey, .5 oz Lemon Juice, 2 oz Cold-pressed Apple Cider, 2 oz Hot Water, .5 oz Honey-Ginger Syrup, 1 tsp Ghost-Pepper-Infused Campari, 3 dash Cinnamon Tincture;Christopher Buono;Walter Foods;Brooklyn;N/A;N/A
Spanish G&T;N/A;N/A;Large Balloon Glass;Add Junipero Gin and botanicals first. Add ice and follow with a bold tonic. Top with additional botanicals/garnish for presentation.  *Assorted Complementing Botanicals: Orange, Star Anise, Rose Petals, Italian Juniper;N/A;N/A;N/A;1.5 oz Junipero Gin, 2 oz East Imperial Superior Tonic , Assorted Complementing Botanicals;Natasha Bahrami;The Gin Room;St. Louis;Assorted Complementing Botanicals;N/A
Chilcano;N/A;N/A;Highball Glass;Add pisco and lime juice into a highball glass filled with ice. Pour ginger ale into the glass to top. Add 2-3 drops of bitters. Garnish with lime wheel.;N/A;N/A;N/A;2 oz BarSol Selecto Acholado Pisco, .5 oz Fresh Lime Juice, 2-3 drops Angostura Bitters,  1 top Ginger Ale;N/A;N/A;N/A;Lime Wheel;N/A
Kir Royale;Ordinary Drink;Alcoholic;N/A;Pour Creme de cassis in glass, gently pour champagne on top;Creme de Cassis in ein Glas geben, vorsichtig Champagner darüber gießen.;Versare la Creme de cassis nel bicchiere, versai sopra delicatamente lo champagne;https://www.thecocktaildb.com/images/media/drink/yt9i7n1504370388.jpg;5 parts Champagne, 1 part Creme de Cassis;N/A;N/A;N/A;N/A;N/A
Kir;Ordinary Drink;Alcoholic;N/A;Add the crème de cassis to the bottom of the glass, then top up with wine.;Gib die Creme de Cassis auf den Boden des Glases und füge dann Wein hinzu.;Aggiungere la crème de cassis sul fondo del bicchiere, quindi rabboccare con il vino.;https://www.thecocktaildb.com/images/media/drink/apneom1504370294.jpg;5 parts Champagne, 1 part Creme de Cassis;N/A;N/A;N/A;N/A;N/A
Citrus Agave Caipirinha;N/A;N/A;Bucket;Add soda to bucket first, then add spirits and mixers. Top with ice and garnish.;N/A;N/A;N/A;1.5 oz Ypioca Brasilizar Cachaca Prata Classica, 1.5 oz Citrus Agave Blend, 1 splash Soda Water;N/A;N/A;N/A;Lime Wheel;N/A
