residual sugar,alcohol,density,quality
1.9,10,0.9978,bad
2,9.4,0.997,bad
2.2,10.9,0.9962,bad
1.8,9.2,0.9959,bad
1.7,9,0.9962,bad
2.2,10.9,0.9962,bad
2.5,9.2,0.998,bad
2.6,9.5,0.9976,bad
1.6,9.5,0.996,bad
1.9,9.4,0.9984,bad
1.7,10.9,0.9964,bad
1.8,10.9,0.9964,bad
1.8,10.5,0.9962,good
1.8,9.4,0.9955,bad
2,9.4,0.9968,bad
2.3,13,0.9937,bad
2.3,13,0.9937,bad
1.5,9.8,0.9952,bad
2.2,9.9,0.9959,bad
1.9,9.6,0.9965,bad
1.8,9.5,0.9968,bad
2,9.2,0.9972,bad
2.1,9.5,0.9962,bad
2,9.5,0.9962,bad
1.9,9.6,0.9965,bad
1.8,9.5,0.9968,bad
1.8,14,0.9916,bad
1.7,9.4,0.9954,bad
1.8,14,0.9916,bad
1.8,9.4,0.9968,bad
1.8,10,0.9944,bad
1.6,9.3,0.9968,bad
2.3,10.2,0.9959,bad
2.8,10.5,0.9975,bad
2.1,10.3,0.9958,bad
3.4,9.4,0.9996,bad
1.8,10.1,0.995,bad
1.8,10.1,0.995,bad
5.5,10.5,0.9973,bad
5.5,10.5,0.9973,bad
5.5,10.5,0.9973,bad
5.5,10.5,0.9973,bad
2.2,9.3,0.9969,bad
1.9,9.3,0.9968,bad
2,9.6,0.9959,bad
1.3,9.2,0.9965,bad
1.7,10,0.9964,bad
7.3,9.4,0.9982,bad
7.2,9.4,0.9981,bad
1.7,9.5,0.9961,bad
2.1,10.2,0.9956,bad
1.6,9,0.9956,bad
2.1,10.4,0.9953,bad
1.8,9.5,0.9964,bad
1.8,9.1,0.9972,bad
2,9.2,0.9972,bad
2,9.2,0.9972,bad
1.9,11.5,0.9961,bad
2,9.5,0.9961,bad
1.5,9.5,0.9958,bad
2,9.5,0.9961,bad
2.3,10.5,0.9972,bad
2.5,9.6,0.9969,bad
2.4,9.5,0.9969,bad
2.4,9.5,0.9969,bad
2,9.3,0.9972,bad
2.5,9.3,0.9972,bad
1.8,9.3,0.9971,bad
1.9,9.3,0.997,bad
2,9.7,0.9971,bad
2,9.2,0.9972,bad
2.6,9.7,0.9976,bad
2,9.5,0.9968,bad
1.9,9.5,0.9968,bad
2.9,9.4,0.9976,bad
1.9,9.8,0.9974,bad
3.8,9.5,0.9969,bad
2.2,9.7,0.9964,bad
2.2,9.7,0.9964,bad
2,9.4,0.9968,bad
2.4,10.2,0.9968,bad
2,10.1,0.9981,bad
1.2,13,0.9924,good
2.1,11.4,0.9948,bad
1.4,10.3,0.99695,good
2.1,9.3,0.9975,bad
1.5,9.5,0.99545,bad
1.6,9.2,0.9961,bad
1.6,9.2,0.99615,bad
2.6,10.8,0.9994,good
2.6,10.8,0.9994,good
1.8,9.3,0.99625,bad
2.7,9.4,0.9966,bad
2.1,10.5,0.998,good
2,12.4,0.99585,bad
2.8,10,0.99685,bad
2.1,10.2,0.998,bad
2.2,10.1,0.9959,bad
2.4,9.8,0.9974,bad
5.6,10.5,0.9974,bad
2,11,0.9962,bad
2.2,9.1,0.9967,bad
1.9,9.7,0.9957,bad
2.4,9.5,0.99655,bad
2,9.4,0.9964,bad
2,9.4,0.9957,bad
1.5,9.5,0.99525,bad
2,10,0.99815,bad
2,10.4,0.99745,bad
2.6,10.5,0.99615,bad
2,9.5,0.9964,bad
2.6,9.8,0.9984,bad
2.6,10.5,0.99615,bad
2.6,11,0.99685,bad
1.6,12.2,0.9927,good
1.8,9.9,0.99625,bad
2.8,9.6,0.998,bad
2.6,11,0.99685,bad
2.3,9,0.99685,bad
1.9,9,0.99675,bad
1.9,9,0.99675,bad
1.9,9.2,0.99675,bad
1.9,9,0.99675,bad
2.3,9,0.99685,bad
1.7,9.3,0.9971,bad
2.1,10.9,0.99925,bad
1.8,9.8,0.99565,bad
2.2,9.2,1.00005,good
2.2,9.2,1.00005,good
2,9.9,0.9983,bad
1.9,9.5,0.99685,bad
2.3,9.3,0.9963,bad
1.7,9.8,0.99615,bad
2,9.9,0.9983,bad
1.6,10,0.9985,bad
1.8,9.9,0.9972,bad
3.1,10.5,0.9986,bad
1.9,9.5,0.9959,bad
1.8,9.9,0.9972,bad
3.2,9.3,0.99675,bad
2.2,9.2,0.998,bad
2.1,9.2,0.9968,bad
1.8,9.4,0.9968,bad
2.6,10.5,0.99965,good
1.7,9.3,0.99625,bad
2,9.4,0.99565,bad
1.7,10,0.99575,bad
1.8,9.3,0.9963,bad
2.4,10.9,0.9999,bad
1.8,10.2,0.9968,good
3.3,9.8,1.00025,bad
3.6,12.8,0.9973,good
3,9.4,0.9987,bad
4,10.1,0.9996,bad
4,10.7,0.9965,bad
4,10.1,0.9996,bad
4,10.1,0.99935,bad
2.4,9.4,0.99735,bad
7,9.4,0.99915,bad
4,10.7,0.9965,bad
3,9.4,0.9987,bad
4,10.1,0.9996,bad
6.4,12.6,0.9976,good
5.6,10.5,0.9991,good
3.6,9.3,0.9986,bad
3.5,9.9,0.9972,good
3,9.1,0.9971,bad
5.6,10.5,0.9991,good
3.4,9.8,1.00015,bad
3.4,9.8,1.00015,bad
2,10.3,0.9997,bad
3,10.3,0.9967,bad
2.5,10.6,0.9976,good
3.3,9.2,1.001,bad
2.5,10.6,0.9976,good
2,10.5,0.9979,bad
2.7,10.3,0.9994,bad
2.4,10.1,0.9964,bad
3.2,9.5,1.0014,bad
2.5,9.5,1.0001,bad
2.6,9.9,0.9981,bad
2,9.6,0.99855,bad
2.3,9.7,0.9993,bad
2.1,9.6,0.99845,bad
2.6,10.7,0.9965,bad
1.5,10.1,0.9973,bad
2.6,10,0.9994,bad
1.6,9.5,0.996,bad
2.1,9.2,0.9973,bad
2.5,9.3,0.9998,bad
2.2,9.4,0.9966,bad
2.4,9.5,0.9994,bad
2.4,9.5,0.9994,bad
1.7,9.5,0.9968,bad
2.5,9.3,0.9998,bad
2,9.4,0.996,bad
2.8,9.5,0.99815,bad
3,9.4,0.9976,bad
2.6,11,0.99645,bad
2.5,11,0.9962,bad
3.4,10.1,0.9996,bad
2.9,10.4,0.99865,bad
3.2,11.5,0.9989,good
2.9,10.4,0.99865,bad
3.2,11.5,0.9989,good
3.4,9.7,0.99975,bad
2.3,9.3,0.99735,bad
2.8,9.5,0.999,bad
11,9.2,1.0015,bad
11,9.2,1.0015,bad
3.65,11.5,0.9978,good
4.5,11.5,0.998,bad
2.6,9.7,1.0002,bad
2,9.5,0.9981,bad
2.9,12.5,0.998,bad
2.9,12.5,0.998,bad
3.2,9.4,0.9973,bad
2.1,11,0.9958,bad
2.5,11.7,0.9963,good
3.4,12.2,0.9992,good
1.9,12.5,0.9948,bad
2.8,10.3,0.9974,bad
3,11.5,1.0008,bad
2.3,9.8,0.9997,good
2.4,9.2,1,bad
2.7,11.3,0.9972,bad
1.8,9.8,0.9982,bad
1.8,9.8,0.9982,bad
2.6,10.7,1.0006,bad
1.9,9.9,0.9979,bad
2.7,12.3,0.9955,good
3,12,0.9986,bad
2.8,10,0.9979,bad
2.6,9.4,0.9994,bad
2.7,9.9,1.0004,bad
2.6,9.4,0.9994,bad
2.4,9.3,0.9974,bad
4.8,13,1.0018,bad
1.4,11.9,0.9912,bad
2.4,12.8,0.9955,bad
3,11,1.0001,bad
2.95,11.7,0.997,good
3.1,10.4,1,good
2.6,9.8,1.001,bad
2,9.4,0.9973,bad
2.6,9.9,0.9982,bad
2.5,10,0.9992,bad
2,10.2,0.9988,bad
5.8,10,1.0022,good
3.4,11.8,0.9979,bad
5.8,10,1.0022,good
2.6,9,1,bad
2.8,9.4,0.9998,bad
2.4,12,0.9962,good
2.3,9.9,0.9975,bad
1.6,8.7,0.9967,bad
1.8,10.6,0.9967,bad
2.2,9.2,0.9959,bad
3.8,10.8,1.0014,bad
4.4,11.8,0.9984,good
3,11,1.0003,bad
2.4,12,0.9962,good
6.2,13.3,0.9988,bad
2.5,10.8,0.9979,bad
2,9.4,0.9974,bad
2.9,10,1.0014,bad
2,9.4,0.9974,bad
2,9.4,0.9974,bad
2.1,9.2,0.998,bad
2.4,9.7,0.9979,bad
2,9.2,0.9981,bad
1.9,9.6,0.9972,bad
1.9,9.2,0.9981,bad
2.5,10,0.9982,good
1.4,12.9,0.9924,good
2.9,10,1.0014,bad
2,9.5,0.998,bad
2,9.1,0.997,bad
2.3,9.9,0.9997,bad
4.2,13,1.0004,good
7.9,9.9,0.9994,bad
2.6,11,0.9988,bad
2.6,11,0.9988,bad
2.3,9.4,0.9963,bad
7.9,9.9,0.9994,bad
1.7,10.8,0.9949,bad
2.6,10.5,1,bad
2.7,10.5,0.9994,bad
2.7,9.1,0.9974,bad
1.4,10.1,0.9966,bad
2.5,10.8,0.9981,bad
3,10.8,0.9996,good
3.7,11.3,0.997,bad
4.5,9.6,0.9981,bad
2.5,9.5,0.9987,bad
2.4,9.5,0.9987,bad
1.9,9.3,0.9966,bad
6.7,11.7,0.9986,good
2.7,9.5,0.9982,bad
6.6,9.3,1.0014,bad
2.2,11.7,0.997,bad
1.9,10.5,0.9956,bad
2,10.4,0.9996,bad
1.8,9.9,0.9976,bad
2.4,11.8,0.9972,good
2.3,12.3,0.9952,good
2,10.9,0.9955,bad
2.1,11,0.9978,good
2,10.9,0.9955,bad
2.3,12.3,0.9952,good
2.1,11.4,0.9949,bad
1.9,10.6,0.9988,bad
1.3,9.3,0.9978,bad
2.4,10.4,0.9997,bad
2.1,11,0.9978,good
2.2,9.2,0.9974,bad
2.3,12.8,0.9958,bad
2.3,9.5,1.0004,bad
3.2,9.9,0.9996,bad
2.3,9.5,1.0004,bad
2,10.2,0.9958,bad
3.2,11.2,0.9986,bad
3.2,9.9,0.9996,bad
1.5,9.3,0.9951,bad
2.2,9.8,0.9987,good
2.15,11.3,0.9988,bad
3.7,11.2,1.0032,good
2.7,11.6,0.9963,good
1.7,12.5,0.9934,good
2.1,10.1,0.9986,bad
2.6,10.5,0.9996,bad
2.1,11.2,0.9968,bad
2,10.2,0.9967,bad
2.8,10.8,0.9994,bad
2.8,10.8,0.9994,bad
1.8,9.1,0.9979,bad
1.7,10,0.9968,bad
2.8,11.2,0.9998,good
1.6,11.1,0.9952,bad
5.2,13.4,0.9988,good
2.3,10.3,0.9986,bad
2.7,9.6,0.9988,bad
2.8,11.2,0.9998,good
2.2,9,1.0008,bad
2.3,11.3,0.9976,bad
2.6,9.3,0.9982,bad
2.55,11.8,0.997,bad
2.2,9,0.9972,bad
2.1,9.2,0.9987,bad
2.9,9.7,1.0006,bad
2,11.5,0.9982,bad
2.6,14,0.9947,bad
2.1,9.2,1,bad
1.2,9.8,0.9952,bad
2.6,10.6,0.9996,bad
2.4,11.4,0.997,bad
2.6,10.4,0.9995,bad
2.1,10.6,0.9971,bad
1.7,9.4,0.9982,bad
2.2,10.2,0.9988,bad
2,9.7,0.998,bad
1.8,11,0.9977,bad
2.2,10.2,0.9988,bad
2.7,10.1,0.9984,bad
15.5,9.2,1.0026,bad
2.8,11.7,0.9964,good
2.2,9.4,0.9986,bad
2.2,9.4,0.9986,bad
4.1,13.4,0.997,bad
1.9,10,0.9976,bad
1.9,10,0.9976,bad
1.8,10,0.9982,bad
2.8,10.8,1.0002,good
2.6,10.2,0.9984,bad
2.8,10.6,0.9984,bad
2.5,13.3,0.9952,good
2.6,13.4,0.995,good
3,11.6,1.0002,bad
8.3,12.1,0.9952,bad
2.6,11,0.9972,good
1.9,9,0.9984,bad
2.5,11.1,0.9966,bad
2.6,11,0.9972,good
3,11.6,1.0002,bad
1.9,9,0.9984,bad
6.55,12,0.999,good
6.55,12,0.999,good
1.9,10.9,0.9976,good
1.8,10.8,0.9976,good
2.9,12.5,0.9968,good
1.8,10.8,0.9976,good
2.3,9.5,1,bad
2.2,10.2,0.9994,bad
2.8,11.4,0.9986,good
4.6,9.5,0.9978,bad
2.2,10.2,0.9994,bad
2.1,9.7,0.998,bad
2.4,11.8,0.9973,good
2.4,11.8,0.9973,good
6.1,9.3,1.001,bad
4.3,11.9,1.001,bad
2.1,8.4,0.9994,bad
2.8,11.7,0.9972,bad
2.5,11,0.9966,bad
2.7,10,0.9982,bad
2,9.1,0.998,bad
2.3,9.8,0.9979,bad
2.5,9.4,0.9978,bad
2.4,9.5,0.9976,bad
2.8,9.9,0.9998,bad
2.5,11,0.9966,bad
2.5,11.4,0.9962,bad
2.6,8.7,0.9988,bad
2.4,9.4,0.9974,bad
2.1,10.3,0.999,bad
2.7,10.3,1.0004,bad
2.7,10.3,1.0004,bad
2.1,12.8,0.9956,bad
2.7,10,1,bad
2.1,10.3,0.999,bad
2.4,9.4,0.9974,bad
2.1,10.7,0.9972,bad
5.8,12,1.0014,good
5.15,11.2,0.9996,bad
3.3,9.6,0.9988,bad
6.3,11,0.9988,bad
2.1,9.9,0.9966,bad
2.5,11,0.9993,bad
1.8,8.4,1.0008,bad
2.6,9.1,0.9982,bad
2,9.5,0.9983,bad
2.5,10.7,0.9987,bad
2.6,10.4,0.9994,bad
1.9,9.4,0.9975,bad
2.1,9.5,0.9958,bad
2.8,10,0.998,bad
2.7,10,0.998,bad
1.6,11.5,0.9934,bad
4.2,11.1,1.00315,bad
4.2,11.1,1.00315,bad
4.6,11.7,1.0002,bad
4.2,11.1,1.00315,bad
4.6,11.7,1.0002,bad
4.3,12.7,1.0021,bad
2.8,11.4,0.9994,bad
2.4,9.2,0.9978,bad
2.9,9.2,0.9982,bad
2.7,10.1,0.9971,bad
4.3,12.7,1.0021,bad
2.8,11.4,0.9994,bad
2.5,9,0.9991,bad
2.5,9,0.9991,bad
2.6,10.7,0.999,bad
2.2,11.7,0.9946,bad
3.3,11,1.0003,bad
2.2,11.7,0.9946,bad
2.4,10.4,0.9978,bad
2.1,9.6,0.9991,bad
3.2,10,0.9992,bad
3.1,10.2,0.9993,bad
2.3,10,0.9978,bad
2.8,9.5,0.9982,bad
2.9,9.8,0.9982,bad
2.2,9.8,0.9976,bad
2.2,9.6,1.0002,bad
2.2,9.6,1.0002,bad
2.2,9.2,1,bad
1.9,9.9,0.9976,good
3.4,10.7,1.0002,good
2.4,9.6,0.998,bad
2.7,10.6,0.9986,good
1.9,9.3,0.9967,bad
2,14,0.9917,good
2.6,10.5,0.9976,good
2.6,9.7,0.9987,bad
1.7,11.5,0.9922,bad
2.6,9.7,0.9987,bad
3.5,9,1.0004,bad
2.6,9.5,0.9978,bad
7.9,9.3,0.9998,bad
2,9.3,0.9994,bad
1.9,10,0.998,bad
2.1,9.8,0.9967,bad
2.3,9.3,1,bad
2.1,10,0.9962,bad
2.2,9,1.0006,bad
2.6,9.3,0.9975,bad
2.2,9,1.0006,bad
2.9,9.1,0.9984,bad
2.6,9.2,0.9984,bad
4.6,12.2,0.9973,good
3.3,10.5,0.9982,bad
5.1,10.4,1.0026,bad
3.2,12.7,0.9956,bad
2.5,9.2,0.9983,bad
2.7,9.4,1.0006,bad
2.4,10,0.9965,bad
1.5,9.8,0.9962,bad
2.2,10.2,0.9969,bad
2.3,9.7,0.9997,bad
2.3,9.7,0.9997,bad
2.2,9.8,0.9982,bad
2.7,10.2,1.0006,bad
2.3,9.3,0.9988,bad
3.4,9.4,0.9976,bad
3.4,9.4,0.9976,bad
1.9,9.5,0.9974,bad
2.9,12.1,0.9974,bad
5.6,10.2,0.9997,bad
5.6,10.2,0.9997,bad
2.2,9.1,0.9988,bad
2.2,9.1,0.9988,bad
2.5,9.3,0.9976,bad
2.3,9.3,0.9964,bad
2.5,9.3,0.9976,bad
2.7,9.5,0.9988,bad
3,10.5,0.9964,bad
3.4,11.3,1.001,bad
1.9,9.5,0.9964,bad
1.4,9.7,0.9954,bad
2.4,9.4,0.9979,bad
2.3,9.4,0.9978,bad
2.2,10.2,0.9964,good
1.9,10.3,0.997,bad
2.3,9.4,0.9991,bad
2.3,9.5,0.9992,bad
2.3,9.4,0.9991,bad
2.3,9.5,0.9992,bad
2.3,9.4,0.9991,bad
6,10.1,0.9984,good
3.6,10.1,0.9972,bad
2.2,11,0.9967,bad
2.8,11.2,0.9964,good
8.6,11.3,0.9948,bad
2.2,9.6,0.9986,bad
2.5,11.2,1.001,bad
7.5,14.9,0.9976,bad
2.8,12,0.9976,bad
2.4,9.5,0.9979,bad
2.9,9.4,1.0004,bad
2.2,9.6,0.9986,bad
1.4,10.5,0.998,good
1.4,9.6,0.9973,bad
4.4,11,0.997,bad
1.4,9.6,0.9973,bad
1.6,9,0.9978,bad
1.6,9.6,0.9972,bad
1.8,10.2,0.9974,bad
2,10.2,1,bad
2,9.7,0.9981,bad
1.8,9.5,0.998,bad
2,9.2,0.9988,bad
2.3,11,0.9966,bad
2,9.2,0.9988,bad
2.5,10,0.9959,bad
1.7,9.5,0.9968,bad
2,9.5,0.998,bad
1.7,9.5,0.9968,bad
2.2,9.3,0.9984,bad
2.2,10.2,0.9984,bad
2.2,9.3,0.9984,bad
2.3,9.9,0.9979,bad
2.6,10,0.9983,bad
3.3,9.6,0.9972,bad
1.9,9,1.0004,bad
2.2,10.2,0.9962,bad
2.25,9.8,0.998,bad
2.6,11.3,0.997,bad
2.3,9.4,0.998,bad
2.6,11.3,0.997,bad
1.8,9.1,0.997,bad
3.1,9.7,0.9998,bad
1.6,9.4,0.9962,bad
1.8,9.4,0.9976,bad
4.25,10.7,0.9966,bad
2.6,9.8,0.9998,bad
2,9,0.9979,bad
2.8,9.4,0.9984,bad
2.7,9.4,0.9984,bad
1.3,12.8,0.9921,bad
2.1,9.5,0.9972,bad
2.1,9.5,0.9972,bad
3.2,9.7,1.0001,bad
2.1,10.8,0.9986,bad
2.9,10.1,0.9984,bad
2.1,9.5,0.9972,bad
2.1,9.4,0.997,bad
2.6,9.6,0.9972,bad
1.6,9.7,0.998,bad
6,9.9,0.999,bad
2,10,0.9956,bad
3,10.5,0.9966,bad
2.5,11.6,0.996,bad
1.6,10,0.9983,bad
2.8,10.1,0.9985,bad
3,9.5,0.9998,bad
3.2,9.4,0.9992,bad
2.3,9.4,0.9976,bad
2.6,9.8,0.998,bad
2.7,9.2,0.9967,bad
2.3,9.4,0.9976,bad
2.6,10,0.9968,bad
2,9.6,0.9976,bad
3.9,9.5,0.9976,bad
2,9.6,0.9976,bad
2.85,9.2,0.9982,bad
2.7,10,0.9968,bad
2.2,9.5,0.9965,bad
3.1,11.2,0.9958,bad
3,10.4,0.9976,bad
2.8,11.1,0.9994,bad
1.8,9.5,0.997,bad
1.8,9.5,0.997,bad
3.2,12.7,0.995,bad
2.3,9.6,0.9982,bad
3.45,11.5,0.9994,bad
2.1,9.6,0.9966,bad
2.7,9.5,0.998,bad
2,9.3,0.9987,bad
2.1,9.5,0.9963,bad
2.1,9.5,0.9963,bad
2.5,9.3,1.0002,bad
2.8,9.2,0.9983,bad
2.4,9.3,0.999,bad
4.2,11.5,0.9965,bad
2.6,9.5,0.99788,bad
1.9,9.2,0.9972,bad
2.8,10,1.00024,bad
2.7,9.5,1.0001,bad
2.1,9.5,0.99768,bad
2.5,9,0.9978,bad
2.6,9.4,0.99782,bad
2.1,9.6,0.99761,bad
2.1,9.5,0.99768,bad
2.9,9.5,0.99803,bad
2.9,9.5,0.99803,bad
2.5,9.4,0.99785,bad
2.9,9.5,0.99803,bad
1.7,9.1,0.99656,bad
1.9,10.7,0.99525,bad
2,11.2,0.99488,bad
2.2,9.8,0.99656,bad
2.2,9.8,0.99656,bad
2.5,9.2,0.99823,bad
2.8,9.7,0.99779,bad
2,9.6,0.99738,bad
1.7,10,0.99701,bad
2,9.6,0.99738,bad
2.8,9.5,0.99888,bad
3,9.5,0.99888,bad
2.9,9.4,0.99738,bad
2.7,9.5,0.99938,bad
2.3,9.7,0.99744,bad
1.9,9.6,0.99668,bad
2.3,9.7,0.99744,bad
2.4,9.4,0.9978,bad
2.3,9.4,0.99782,bad
1.8,9.5,0.9973,bad
1.8,9.5,0.99727,bad
3,10,0.99586,bad
2.4,10.3,0.99612,bad
2.4,10.3,0.9961,bad
3.4,10.5,0.99788,bad
2.6,9.8,0.99745,bad
2,9.4,0.99676,bad
2.4,9.8,0.99732,bad
2.4,10,0.99814,bad
2.4,9.8,0.99732,bad
2.5,9.8,0.99746,bad
2.3,9.5,0.9982,bad
2.3,9.5,0.9982,bad
2.2,10.1,0.9991,bad
2.2,10.1,0.9991,bad
2.9,9.3,0.998,bad
2.6,9.7,0.99708,bad
2.9,9.6,0.99818,bad
2.5,9.7,0.99745,bad
2.6,10.8,0.99639,bad
2.3,12.5,0.99531,bad
2.6,10.2,0.99786,bad
2.5,9.6,0.99746,bad
1.6,10.8,0.99526,good
3.6,10.7,0.9987,bad
3.6,10.7,0.9987,bad
4,9.4,0.99641,bad
3.3,10,0.99735,bad
1.7,12.9,0.99264,good
2.5,9.6,0.9971,bad
2.7,9.9,0.99682,bad
2.4,12.8,0.99356,good
2,12.5,0.99386,good
2.4,12.8,0.99356,good
1.9,9.2,0.99702,bad
2.8,10.3,0.99693,bad
2.6,10.5,0.99562,bad
2.8,10.9,1.00012,bad
2.5,10.8,0.99818,bad
2.1,11.4,0.99462,bad
2.8,11.3,0.99939,bad
2.5,10.8,0.99818,bad
3.2,10.5,0.9984,bad
1.6,11.9,0.99545,bad
2.35,9.4,0.99632,bad
3.2,9.6,0.99976,bad
1.9,9.7,0.99606,bad
2.1,14,0.99154,good
2,9.8,0.9973,bad
2,9.8,0.9973,bad
2.8,10.3,0.99682,bad
2.8,10.7,0.99624,bad
2.3,11,0.9951,good
2.8,10.7,0.99624,bad
2.3,12.7,0.99417,good
2.1,11.1,0.99376,bad
2.5,10.9,0.99632,bad
2.1,11.1,0.99376,bad
1.5,9.9,0.99832,bad
1.6,9.9,0.99836,bad
1.6,9.4,0.99694,bad
1.5,9.3,0.99655,bad
2.4,11.7,0.99064,good
2.4,11.7,0.99064,good
1.6,11.2,0.99672,good
2.2,10,0.99647,bad
2.65,12.1,0.99736,good
3,10.3,0.99629,bad
2.6,10.9,0.99708,bad
2,9.4,0.9963,bad
1.7,10.6,0.9959,bad
1.8,9.8,0.99689,bad
1.8,9.8,0.99689,bad
1.8,9.9,0.9977,bad
1.8,9.8,0.99689,bad
1.6,9.8,0.99689,bad
1.9,9.5,0.99708,bad
1.9,9.5,0.99708,bad
2.5,9.7,0.99801,bad
1.5,10.9,0.99652,bad
1.5,10.9,0.99652,bad
2.5,11.7,0.99538,good
1.5,10.9,0.99652,bad
2.5,11.3,0.99594,good
1.7,10.6,0.99686,good
1.8,11.2,0.99438,bad
2.7,9.5,0.99746,bad
2,11.5,0.99357,bad
2.7,10.4,0.99628,bad
2.5,9.7,0.99746,bad
2.7,9.5,0.99746,bad
2.6,9.7,0.99748,bad
2.3,11.3,0.99438,bad
2,11.2,0.99438,bad
1.8,11.2,0.99438,bad
2,10.9,0.99578,bad
2.1,11.8,0.99371,bad
1.5,10.6,0.99522,bad
2,10,0.99576,bad
1.6,11.1,0.99552,good
2.1,11.8,0.99664,good
2.8,11.8,0.99614,good
2.2,10.9,0.99517,bad
2.1,11.8,0.99371,bad
4,10,0.99787,bad
2.5,9.5,0.99745,bad
1.6,9.9,0.99576,bad
2.1,11.4,0.99533,bad
3.1,12,0.99536,bad
2.5,9.5,0.99745,bad
4,10,0.99787,bad
2.5,10.5,0.99824,bad
2.4,10.4,0.99836,bad
2.6,12.1,0.99577,good
2.5,11.2,0.99491,bad
6.6,9.3,1.00289,bad
2,10.1,0.99576,bad
2.3,9.7,0.99743,bad
1.9,9.3,0.99774,bad
2.3,9.7,0.99743,bad
2.2,9.8,0.99745,bad
2.3,10.7,0.9955,bad
2.4,12.5,0.99444,good
2.3,10.7,0.9955,bad
2.4,12.5,0.99444,good
3.4,11,0.99892,bad
2.6,11.8,0.99562,bad
2.4,10.8,0.99736,good
2.4,10.8,0.99736,good
6,10.8,0.9962,good
6,10.8,0.9962,good
3,9.5,0.998,bad
2.6,11,0.9964,bad
2.2,11.5,0.9948,bad
2.4,10.8,0.99528,bad
1.2,11.5,0.99331,bad
3.8,13.2,0.99577,bad
9,10.9,0.99901,bad
2.9,12.2,0.99674,bad
4.6,12.2,0.99639,good
1.2,11.5,0.99331,bad
