free sulfur dioxide,total sulfur dioxide,pH,sulphates,quality
12,80,3.38,0.52,bad
27,119,3.16,1.12,bad
3,15,3.41,0.56,bad
22,67,3.13,1.28,bad
21,73,3.36,0.57,bad
16,51,3.16,1.14,bad
18,61,3.44,0.78,bad
19,40,3.41,0.59,bad
20,136,2.93,1.95,bad
9,31,3.39,0.64,bad
34,125,3.14,1.22,bad
8,24,3.48,0.53,bad
42,140,3.23,0.54,bad
20,136,2.93,1.95,bad
19,133,2.93,1.98,bad
9,31,3.39,0.64,bad
41,85,3.75,0.48,bad
17,106,3.85,0.6,bad
8,23,3.45,0.56,bad
3,22,3.25,0.63,bad
5,10,3.39,0.56,bad
13,35,3.3,0.59,bad
11,50,3.4,0.61,bad
8,22,3.31,0.56,bad
13,35,3.3,0.59,bad
12,65,3.29,0.51,bad
5,36,3.33,0.48,bad
12,65,3.29,0.51,bad
18,69,3.08,1.31,bad
15,64,3.46,0.79,bad
18,80,3.37,0.8,bad
37,153,3.21,0.69,bad
12,47,3.19,0.93,bad
11,108,3.15,0.66,bad
14,111,3.15,0.66,bad
22,46,3.32,0.67,bad
12,47,3.19,0.93,bad
13,62,3.07,0.63,bad
11,40,3.39,0.61,bad
7,28,3.37,0.5,bad
14,56,3.21,0.6,bad
22,89,3.34,0.54,bad
10,89,3.3,0.57,bad
14,56,3.21,0.6,bad
3,13,3.49,0.52,bad
11,34,3.44,0.53,bad
21,102,3.39,0.48,bad
27,90,3.16,0.7,bad
3,12,3.53,0.49,bad
3,12,3.54,0.48,bad
3,16,3.42,0.92,good
6,19,3.42,0.57,bad
30,134,3.24,0.66,bad
17,99,3.63,0.63,bad
17,99,3.63,0.63,bad
17,26,3.4,0.58,bad
13,29,3.22,0.55,bad
16,63,3.19,0.82,bad
10,52,3.23,0.77,bad
13,45,3.48,0.64,bad
15,105,3.33,0.54,bad
17,108,3.32,0.54,bad
16,63,3.19,0.82,bad
10,52,3.23,0.77,bad
27,63,3.68,0.79,bad
3,20,3.34,0.58,bad
27,63,3.68,0.79,bad
32,141,3.17,0.62,bad
21,94,3.54,0.52,bad
10,88,3.11,0.8,bad
12,30,3.42,0.58,bad
11,43,3.53,0.61,bad
5,11,3.33,0.53,bad
32,69,2.74,2.0,bad
25,99,3.35,0.54,bad
25,99,3.35,0.54,bad
29,129,3.42,0.72,bad
28,128,3.42,0.71,bad
29,129,3.42,0.72,bad
28,128,3.42,0.71,bad
12,22,3.48,0.5,bad
18,86,3.59,0.57,bad
7,20,3.2,0.56,bad
9,20,3.17,1.08,bad
17,31,3.33,0.56,bad
36,121,3.37,0.49,bad
35,121,3.37,0.49,bad
14,96,3.19,0.62,bad
18,101,3.34,0.52,bad
17,42,3.37,0.48,bad
11,44,3.47,0.55,bad
15,63,3,1.59,bad
4,8,3.36,0.33,bad
6,18,3.29,0.61,bad
6,18,3.29,0.61,bad
24,42,3.42,0.57,bad
7,35,3.33,0.47,bad
19,49,3.35,0.78,bad
7,35,3.33,0.47,bad
8,38,3.58,0.61,bad
7,20,3.48,0.56,bad
10,42,3.19,0.59,bad
10,42,3.19,0.59,bad
23,110,3.12,1.02,bad
16,42,3.44,0.52,bad
11,65,3.54,0.58,bad
8,62,3.52,0.58,bad
26,85,3.26,0.53,bad
14,67,3.34,0.55,bad
9,26,3.39,0.49,bad
15,143,3.2,0.55,bad
17,144,3.2,0.55,bad
21,127,3.23,0.62,bad
21,49,3.57,0.62,bad
16,126,3.28,0.61,bad
7,28,3.28,0.55,bad
7,28,3.28,0.55,bad
24,120,3.25,0.54,bad
15,55,3.46,0.59,bad
12,27,3.11,0.97,bad
13,93,3.57,0.85,good
12,31,3.51,0.43,bad
9,24,3.22,0.82,good
39,145,3.04,1.03,bad
16,49,3.36,0.79,bad
16,39,3.34,0.55,bad
14,37,3.34,0.56,bad
9,28,3.2,0.77,good
9,28,3.2,0.77,good
26,120,3.29,0.53,bad
18,95,3.22,0.67,bad
7,19,3.31,0.88,good
5,19,3.3,0.86,bad
10,62,3.35,0.56,bad
5,15,3.21,0.67,bad
28,65,3.3,0.43,bad
10,41,3.24,0.71,bad
26,121,3.34,0.76,bad
13,49,3.14,0.57,bad
11,41,3.36,0.55,bad
10,44,3.39,0.54,bad
24,144,3.3,0.6,bad
24,58,3.34,0.59,bad
16,72,3.15,0.57,bad
5,10,3.42,0.6,bad
8,28,3.28,0.6,bad
15,55,3.31,0.57,bad
29,63,3.37,0.58,bad
27,81,3.04,1.61,bad
9,23,3.39,0.63,bad
29,63,3.37,0.58,bad
10,37,3.46,0.5,bad
19,106,3.54,0.62,good
12,49,3.37,0.52,bad
18,58,3.34,0.7,bad
10,37,3.46,0.5,bad
7,37,3.32,0.55,bad
14,38,3.37,0.58,bad
14,38,3.37,0.58,bad
15,39,3.37,0.58,bad
14,38,3.37,0.58,bad
7,37,3.32,0.55,bad
5,62,3,1.09,bad
6,24,3.14,0.71,bad
28,109,3.08,0.49,bad
10,24,3.07,0.84,good
10,24,3.07,0.84,good
6,23,3.61,0.96,bad
16,51,3.38,0.52,bad
11,73,3.2,0.45,bad
9,39,3.35,0.48,bad
6,23,3.61,0.96,bad
16,37,3.22,0.78,bad
16,34,3.47,0.7,bad
5,21,3.17,0.53,bad
8,86,3.23,0.59,bad
16,34,3.47,0.7,bad
17,119,3.26,0.57,bad
5,13,3.22,0.62,bad
12,56,3.49,0.67,bad
8,45,3.06,1.26,bad
14,33,3.36,0.8,good
18,45,3.29,0.65,bad
12,67,3.35,0.6,bad
10,35,3.34,0.57,bad
23,49,3.28,0.67,bad
5,27,3.08,0.87,bad
6,10,3.2,0.72,good
26,61,3.6,0.72,bad
15,37,3.35,0.86,good
7,27,3.69,0.91,bad
4,23,3.28,0.97,bad
27,61,3.36,0.67,bad
4,23,3.28,0.97,bad
17,65,3.22,0.78,bad
10,38,3.31,0.64,bad
27,94,3.38,0.77,bad
27,61,3.36,0.67,bad
7,27,3.69,0.91,bad
4,23,3.28,0.97,bad
5,13,3.23,0.82,good
10,47,3.38,0.77,good
6,19,3.12,0.82,bad
5,10,3.25,1.08,good
12,53,3.36,0.57,bad
10,47,3.38,0.77,good
32,71,3.31,0.71,bad
32,71,3.31,0.71,bad
25,49,3.1,0.76,bad
29,53,3.37,0.7,bad
20,49,3.34,0.86,good
33,98,3.2,0.95,bad
20,49,3.34,0.86,good
6,18,3.3,0.71,bad
18,48,3.22,0.64,bad
5,16,3.41,0.6,bad
17,53,3.05,0.81,bad
5,27,3.05,0.64,bad
26,70,3.16,0.52,bad
8,29,3.67,0.73,bad
5,31,3.67,0.8,bad
8,33,3.68,0.71,bad
20,44,3.38,0.59,bad
7,15,3.22,0.64,bad
12,28,3.51,0.72,bad
5,21,3.39,0.54,bad
12,90,3.2,0.52,bad
6,25,3.12,0.59,bad
7,54,3.36,0.52,bad
6,14,3.19,0.62,bad
5,12,3.19,0.63,bad
9,30,3.41,0.53,bad
6,25,3.12,0.59,bad
15,105,3.27,0.54,bad
19,98,3.32,0.63,bad
30,135,3.3,0.53,bad
26,72,3.39,0.68,bad
20,53,3.42,0.65,bad
37,92,3.3,0.65,bad
30,74,3.3,0.64,bad
21,59,3.37,0.71,good
30,74,3.3,0.64,bad
21,59,3.37,0.71,good
25,87,3.24,0.62,bad
6,18,3.29,0.63,bad
35,73,3.28,0.7,bad
13,50,3.16,0.69,bad
13,50,3.16,0.69,bad
6,14,3.05,0.74,good
5,13,3.28,0.83,bad
6,21,3.16,0.67,bad
7,15,3.18,0.62,bad
10,41,3.23,0.66,bad
10,41,3.23,0.66,bad
21,114,3.22,0.54,bad
16,44,3.13,0.52,bad
17,38,3.34,0.74,good
7,21,3.17,0.84,good
6,16,3.35,0.7,bad
29,58,3.31,0.64,bad
28,99,3.16,1,bad
12,29,3.11,1.36,good
10,21,3.12,1.18,bad
5,18,3.21,0.87,bad
6,14,3.3,0.75,bad
6,14,3.3,0.75,bad
6,32,3.12,0.78,bad
40,63,3.6,0.81,bad
17,34,3.58,0.89,good
6,15,3.02,0.93,bad
15,46,3.11,0.92,bad
11,28,3.36,0.86,bad
17,34,3.28,0.98,bad
11,26,3.35,0.83,bad
8,19,3.27,0.73,bad
23,77,3.18,0.77,bad
40.5,165,3.25,0.59,bad
17,32,3.55,0.61,bad
29,55,3.26,0.88,bad
12,29,3.24,0.75,good
10,23,3.15,0.85,good
10,41,3.17,0.68,bad
14,81,3.19,0.7,bad
21,50,3.37,0.91,bad
6,37,3.05,0.56,bad
6,15,2.99,0.87,bad
7,42,3.07,0.73,good
7,21,3.26,0.93,bad
7,42,3.07,0.73,good
11,24,3.16,0.69,bad
15,75,3.18,0.64,bad
6,18,3.2,1.13,good
35,63,3.57,0.78,bad
11,25,3.32,0.87,bad
26,46,3.32,1.04,bad
12,72,3.05,0.63,bad
6,47,3.01,0.81,bad
6,15,3.01,0.83,good
19,47,3.26,1.11,bad
6,18,3.2,1.13,good
6,24,3.11,0.99,bad
24,60,3.31,0.7,bad
11,27,3.21,0.8,bad
17,43,3.06,0.8,bad
11,27,3.21,0.8,bad
11,27,3.21,0.8,bad
23,54,3.42,0.74,bad
11,37,3.43,0.76,bad
23,48,3.41,0.74,bad
17,42,3.31,0.54,bad
23,53,3.43,0.74,bad
16,49,3.19,0.7,good
12,88,3.56,0.82,good
17,43,3.06,0.8,bad
6,26,3.18,0.51,bad
13,95,3.16,0.54,bad
6,25,3.03,0.57,bad
7,38,3.22,0.6,good
68,124,3.47,0.53,bad
13,49,3.18,0.65,bad
13,49,3.18,0.65,bad
9,42,3.1,0.55,bad
68,124,3.47,0.53,bad
20,38,3.29,0.47,bad
19,64,3.1,0.61,bad
10,41,3.15,0.63,bad
15,27,3.26,0.61,bad
11,25,3.36,0.76,bad
9,28,3.24,0.65,bad
12,30,3.18,0.63,good
6,16,3.19,0.7,bad
26,49,3.05,0.57,bad
26,86,3.38,0.62,bad
23,78,3.38,0.62,bad
15,77,3.27,0.64,bad
6,19,3.27,0.82,good
24,122,3.26,0.61,bad
31,134,3.32,1.07,bad
6,20,3.26,0.66,bad
34,124,3.44,0.48,bad
7,20,3.24,0.76,bad
34,52,3.62,0.68,bad
35,67,3.28,0.73,good
32,48,3.52,0.56,good
15,60,3.36,0.44,bad
6,24,3.15,0.9,good
15,60,3.36,0.44,bad
32,48,3.52,0.56,good
19,48,3.49,0.49,bad
6,32,3.26,0.56,bad
9,30,3.24,0.6,bad
13,35,3.1,0.6,bad
6,24,3.15,0.9,good
21,66,3.25,0.56,bad
12,24,3,0.65,bad
6,18,3.16,0.49,bad
22,54,3.15,0.89,bad
6,18,3.16,0.49,bad
38,62,3.26,0.56,bad
6,22,3.17,0.66,bad
22,54,3.15,0.89,bad
7,50,3.08,0.6,bad
6,29,2.88,0.82,good
7,27,3.06,0.68,bad
6,43,2.95,0.68,good
11,19,3.23,0.63,good
5,27,3.57,0.84,good
6,31,3.23,0.56,bad
31,72,3.1,0.73,bad
6,16,3.22,0.72,bad
7,27,3.2,0.56,bad
17,35,3.1,0.61,bad
17,35,3.1,0.61,bad
9,26,3.06,1.06,bad
18,35,3.44,0.63,bad
5,22,3.26,0.74,good
21,67,3.5,0.63,bad
6,19,3.22,0.69,good
5,22,3.37,0.58,bad
29,65,3.28,0.58,bad
5,22,3.26,0.74,good
10,47,3.25,0.57,bad
14,23,3.35,0.61,bad
6,19,3.26,0.61,bad
10,25,3.18,0.61,bad
25,129,3.08,0.53,bad
5,15,2.98,0.7,bad
10,26,3.48,0.91,bad
21,51,3.16,0.72,bad
7,18,3.32,0.79,bad
6,21,3.17,0.62,bad
36,48,3.2,0.58,bad
15,47,3.05,0.61,bad
25,52,3.2,0.71,bad
25,68,3.15,0.82,bad
5,14,3.26,0.79,bad
10,24,3.2,0.89,bad
5,28,3.14,0.6,bad
6,16,3.28,0.7,bad
6,20,3.18,1.06,bad
5,28,3.14,0.6,bad
6,31,3.19,0.7,bad
6,23,3.12,0.66,bad
6,17,3.15,0.92,good
6,18,3.04,1.05,bad
7,18,3.04,1.06,bad
6,24,3.06,0.66,bad
6,17,3.17,0.47,bad
6,17,3.17,0.47,bad
5,14,3.17,0.42,bad
35,67,3.32,0.92,good
10,26,3.34,0.75,bad
24,56,3.31,0.67,bad
12,25,3.34,0.79,good
13,27,3.32,0.9,good
23,81,3.48,0.74,bad
28,91,3.44,0.55,bad
5,16,3.15,0.65,good
14,38,3.43,0.65,bad
43,113,3.32,0.79,bad
5,16,3.15,0.65,good
23,81,3.48,0.74,bad
14,38,3.43,0.65,bad
38,76,3.17,0.85,good
38,76,3.17,0.85,good
6,24,3.18,1.04,good
6,22,3.21,1.05,good
10,26,3.16,0.78,good
6,21,3.25,1.02,good
6,13,3.17,0.71,bad
26,62,3.18,0.63,bad
23,43,3.04,0.68,good
19,43,3.02,0.61,bad
26,62,3.18,0.63,bad
15,49,3.03,0.81,bad
6,15,3.09,0.66,good
6,15,3.09,0.66,good
34,151,3.31,1.14,bad
5,14,3.25,0.74,bad
5,16,3.16,0.63,bad
11,32,3.22,0.68,bad
39,106,3.36,0.78,bad
15,33,3.42,0.9,bad
16,43,3.48,0.64,bad
47,133,3.38,0.99,bad
38,142,3.22,0.55,bad
23,116,3.23,0.64,bad
29,53,3.24,0.67,bad
39,106,3.36,0.78,bad
33,85,3.39,0.77,bad
32,55,3.34,0.75,bad
6,33,3.09,0.57,bad
1,28,3.41,0.87,bad
12,42,3.16,0.61,bad
12,42,3.16,0.61,bad
15,33,3.22,0.66,bad
13,32,3.28,0.56,bad
1,28,3.41,0.87,bad
6,33,3.09,0.57,bad
5,13,3.37,0.77,bad
5,35,3.2,0.66,good
5,17,3.22,0.62,bad
20,47,3.26,0.67,bad
5,17,3.21,0.73,bad
5,20,3.12,0.59,bad
16,53,3.06,0.72,bad
6,15,2.86,0.79,bad
38,106,3.08,0.59,bad
10,28,3.45,0.78,bad
6,21,3.26,0.86,bad
27,69,3.12,0.75,bad
6,25,3.27,0.61,bad
9,25,3.33,0.56,bad
14,45,3.19,0.73,bad
14,44,3.12,0.74,bad
32,96,3.74,0.62,bad
10,23,2.92,0.74,bad
10,23,2.92,0.74,bad
10,17,3.07,0.56,bad
10,23,2.92,0.74,bad
10,17,3.07,0.56,bad
6,47,3.3,0.68,bad
5,19,3.14,0.57,bad
26,121,3.23,0.58,bad
41,110,3.08,0.61,bad
25,60,3.31,0.61,bad
6,47,3.3,0.68,bad
5,19,3.14,0.57,bad
5,15,3.32,0.6,bad
5,15,3.32,0.6,bad
5,20,3.31,0.79,bad
19,42,3.57,0.57,bad
10,37,3.32,0.91,bad
19,42,3.57,0.57,bad
10,28,3.14,0.61,bad
14,47,3.3,0.56,bad
20,78,3.19,0.7,bad
28,46,3.2,0.8,bad
6,14,3.34,0.52,bad
18,111,3.3,0.6,bad
17,110,3.29,0.6,bad
18,40,3.14,0.51,bad
5,14,3.19,0.44,bad
5,14,3.19,0.44,bad
5,15,3.19,0.43,bad
10,21,2.98,0.66,good
54,80,3.3,0.76,good
8,38,3.47,0.66,bad
16,47,3.12,1.02,good
18,102,3.26,0.59,bad
19,50,3.72,0.74,good
5,13,3.05,0.74,good
21,75,3.35,0.57,bad
23,149,3.12,0.5,bad
21,75,3.35,0.57,bad
9,43,3.29,0.58,bad
20,38,3.4,0.53,bad
30,109,3.27,0.57,bad
6,24,3.04,0.6,bad
5,18,3.09,0.63,bad
5,30,3.2,0.48,bad
11,22,3,0.7,bad
7,23,3.26,0.47,bad
12,35,3.1,0.56,bad
6,14,3.3,0.52,bad
12,35,3.1,0.56,bad
14,63,3.17,0.62,bad
6,24,3.31,0.59,bad
10,20,3.34,0.79,good
26,52,3.31,0.53,bad
11,65,3.32,0.64,bad
15,39,3.56,0.52,bad
25,57,3.39,0.54,bad
5,16,2.98,0.54,bad
18,29,3.32,0.6,bad
10,29,3.26,0.74,bad
10,103,2.87,1.36,bad
28,71,3.5,0.57,bad
28,71,3.5,0.57,bad
14,28,3.03,0.93,bad
4,17,3.13,0.7,bad
6,16,3.09,0.8,bad
16,112,3.27,0.61,bad
14,104,3.28,0.62,bad
9,32,3.13,0.55,bad
21,45,3.49,0.96,bad
21,58,3.46,0.72,bad
21,58,3.46,0.72,bad
5,15,3.36,0.49,bad
5,15,3.36,0.49,bad
7,31,3.27,0.6,bad
20,84,3.21,0.61,bad
7,31,3.27,0.6,bad
5,19,3.25,0.63,bad
21,43,3.32,0.57,bad
11,86,3.43,0.64,bad
46,102,3.27,0.58,bad
24,33,3.27,0.55,bad
30,147,3.24,0.53,bad
31,145,3.24,0.53,bad
7,23,3.35,0.65,good
25,57,3.18,1.36,bad
16,40,3.39,0.62,bad
21,68,3.46,0.63,bad
16,40,3.39,0.62,bad
21,68,3.46,0.63,bad
16,40,3.39,0.62,bad
5,11,3.37,0.69,good
6,20,3.4,0.63,bad
5,14,3.32,0.58,bad
10,28,3.33,0.67,good
24,148,3.16,0.57,bad
8,32,2.89,0.5,bad
35,155,3.41,0.67,bad
22,71,2.98,0.84,bad
9,30,3.12,0.54,bad
7,29,3.08,0.46,bad
20,53,3.14,0.61,bad
8,32,2.89,0.5,bad
23,42,2.92,0.68,good
5,20,3.32,0.81,bad
5,13,3.41,0.57,bad
5,20,3.32,0.81,bad
15,42,3.31,0.64,bad
9,27,3.36,0.7,bad
5,13,3.04,0.79,bad
15,54,3.03,0.66,bad
25,48,3.14,0.56,bad
6,16,3.18,0.6,bad
6,15,2.94,0.66,bad
15,31,3.15,0.57,bad
6,15,2.94,0.66,bad
30,45,3.26,0.58,bad
5,13,3.2,0.52,bad
32,151,3.15,0.53,bad
5,13,3.2,0.52,bad
7,17,3.08,0.67,bad
12,31,3.26,0.65,bad
7,17,3.08,0.67,bad
12,31,3.4,0.48,bad
45,87,3.48,0.53,bad
20,49,3.13,0.54,bad
15,40,3.06,0.49,bad
16,29,3.21,0.49,bad
32,58,3.33,0.54,bad
5,15,3.37,0.56,bad
35,152,3.25,0.48,bad
5,15,3.37,0.56,bad
13,40,3.44,0.6,bad
13,38,3.28,0.59,bad
4,9,3.4,0.47,bad
5,17,3.3,1.05,bad
5,14,3.63,0.54,bad
12,93,3.48,0.54,bad
16,62,3.03,1.17,bad
21,122,3.32,0.62,bad
24,125,3.31,0.61,bad
18,44,3.9,0.62,bad
8,25,3.47,0.67,bad
8,25,3.47,0.67,bad
18,72,3.31,0.53,bad
5,19,3.11,0.62,bad
26,88,3.08,0.57,bad
8,25,3.47,0.67,bad
9,23,3.47,0.67,bad
22,84,3.32,0.7,bad
4,14,3.29,0.54,bad
11,54,3.37,0.49,bad
10,19,3.4,0.47,bad
16,37,3.37,0.51,bad
11,35,3.34,0.61,bad
13,33,3.27,0.66,bad
21,84,3.06,0.57,bad
16,112,3.38,0.61,bad
13,33,3.36,0.45,bad
10,48,3.34,0.46,bad
21,77,3.28,0.51,bad
13,34,3.29,0.48,bad
10,48,3.34,0.46,bad
12,49,3.21,0.57,bad
10,22,3.22,0.44,bad
17,45,3.46,0.54,bad
10,22,3.22,0.44,bad
35,106,3.1,0.53,bad
15,48,3.21,0.59,bad
36,127,2.94,1.62,bad
5,12,3.54,0.6,bad
5,13,3.29,0.55,bad
18,49,3.43,0.72,bad
4,11,3.46,0.68,bad
4,11,3.46,0.68,bad
27,58,3.61,0.49,bad
12,37,3.17,0.67,bad
4,14,3.44,0.52,bad
10,19,3.39,0.47,bad
16,72,3.55,0.6,bad
9,39,3.48,0.62,bad
11,22,3.26,0.5,bad
11,22,3.26,0.5,bad
19,58,3.5,0.65,bad
28,104,3.1,0.56,bad
19,38,3.35,0.6,bad
12,16,3.45,0.68,bad
28,139,3.21,0.57,bad
9,18,3.46,0.65,bad
25,101,3.13,0.53,bad
21,101,3.13,0.51,bad
12,28,3.52,0.73,bad
12,57,3.3,0.47,bad
16,68,3.3,0.48,bad
12,31,3.52,0.72,bad
12,28,3.52,0.73,bad
17,40,3.29,0.55,bad
17,40,3.29,0.55,bad
24,66,3.39,0.61,bad
17,40,3.29,0.55,bad
14,32,3.09,1.06,bad
22,47,3.51,0.43,bad
15,33,3.6,0.46,bad
10,31,3.25,0.5,bad
10,31,3.25,0.5,bad
33,88,3.19,0.52,bad
9,104,3.23,0.57,bad
5,35,3.25,0.42,bad
8,19,3.31,0.53,bad
5,35,3.25,0.42,bad
11,44,3.31,0.55,bad
12,48,3.31,0.54,bad
12,74,3.14,0.54,bad
13,98,3.45,0.62,bad
24,94,3.55,0.53,bad
7,32,3.39,0.54,bad
24,94,3.55,0.53,bad
23,143,3.28,0.55,bad
23,144,3.27,0.55,bad
1,44,3.3,0.92,bad
2,45,3.31,0.91,bad
7,16,3.43,0.46,bad
5.5,48,3.4,0.6,bad
6,18,3.4,0.59,bad
7,34,3.36,0.61,bad
21,92,3.5,0.6,bad
12,45,3.31,0.6,bad
9,37,3.66,0.65,bad
26,96,3.36,0.53,bad
9,37,3.66,0.65,bad
20,85,3.55,0.59,bad
11,61,3.21,0.5,bad
11,61,3.21,0.5,bad
19,58,3.18,0.56,bad
19,58,3.18,0.56,bad
21,119,3.09,0.52,bad
18,82,3.33,0.68,bad
25,130,3.23,0.54,bad
17,87,3.48,0.6,bad
7,13,3.38,0.56,bad
7,26,3.17,0.53,bad
7,60,2.99,1.18,bad
24,64,3.1,0.74,bad
21,42,3.24,0.81,good
5,14,3.29,0.52,bad
5,14,3.29,0.52,bad
26,108,3.25,0.51,bad
8,17,3.23,0.44,bad
14,86,3.56,0.94,good
14,46,3.24,0.66,bad
4,18,3.26,0.57,bad
4,10,3.33,0.7,good
4,10,3.27,0.71,good
4,10,3.33,0.7,good
4,12,3.26,0.86,bad
4,15,3.22,0.55,bad
4,14,3.3,0.47,bad
7,24,3.09,0.68,bad
20,38,3.24,0.71,bad
4,7,3.44,0.58,bad
19,41,3.21,0.76,bad
20,38,3.24,0.71,bad
8,30,3.23,0.58,bad
19,27,3.28,0.73,bad
21,47,3.29,0.45,bad
9,59,3.28,0.54,bad
9,22,3.34,0.6,bad
16,42,3.71,0.74,good
15,36,3.61,0.64,bad
15,36,3.61,0.64,bad
6,16,3.24,0.53,bad
15,37,3.36,0.49,bad
4,8,3.4,0.64,good
15,37,3.36,0.49,bad
34,45,3.46,0.74,good
16,24,3.56,0.77,bad
5,9,3.38,0.55,bad
16,24,3.56,0.77,bad
34,48,3.38,0.86,bad
36,51,3.38,0.86,bad
16,23,3.32,0.47,bad
27,55,3.39,0.51,bad
36,100,3.26,0.39,good
36,100,3.26,0.39,good
9,28,3.24,0.83,good
13,26,3.46,0.47,bad
9,34,3.24,0.77,good
21,31,3.45,0.63,bad
34,68,3.23,0.72,bad
9,92,3.28,0.62,bad
26,42,3.18,0.83,bad
14,31,3.59,0.66,bad
14,31,3.59,0.66,bad
12,39,3.5,0.7,bad
14,31,3.59,0.66,bad
12,32,3.58,0.66,bad
9,22,3.28,0.55,bad
9,22,3.28,0.55,bad
26,122,3.22,1.07,bad
41,55,3.47,0.73,bad
41,55,3.47,0.73,bad
10,14,3.51,0.71,good
41,55,3.47,0.73,bad
16,47,3.4,0.78,good
17,32,3.15,0.67,good
15,24,3.4,0.82,bad
15,85,3.51,0.54,bad
15,88,3.66,0.6,bad
7,25,3.24,0.44,bad
17,84,3.51,0.53,bad
15,85,3.51,0.54,bad
16,86,3.51,0.54,bad
13,24,3.41,0.83,bad
13,22,3.4,0.84,bad
15,24,3.4,0.82,bad
27,43,3.44,0.64,bad
31,43,3.41,0.57,bad
36,46,3.53,0.57,bad
28,48,3.43,0.54,bad
6,10,3.23,0.58,good
6,10,3.12,0.65,good
7,16,3.31,0.79,good
7,14,3.4,0.58,bad
31,43,3.41,0.57,bad
30,69,3.22,0.5,bad
18,88,3.53,0.55,bad
10,21,3.15,0.49,bad
30,35,3.48,0.65,bad
14,26,3.22,0.78,bad
18,88,3.53,0.55,bad
30,69,3.22,0.5,bad
9,30,3.34,0.64,bad
8,28,3.33,0.65,bad
29,56,3.15,0.79,good
32,64,3.43,0.56,bad
23,99,3.22,0.68,bad
30,52,3.44,0.58,bad
16,86,3.53,0.57,bad
10,18,3.22,0.65,bad
16,86,3.53,0.57,bad
17,88,3.53,0.58,bad
27,43,3.42,0.58,bad
17,43,3.31,0.77,good
27,43,3.42,0.58,bad
17,43,3.31,0.77,good
6,11,3.48,0.49,bad
10,39,3.4,0.69,bad
16,33,3.58,0.69,good
16,33,3.58,0.69,good
11,18,3.41,0.59,good
11,18,3.41,0.59,good
15,115,3.23,0.59,bad
12,78,3.39,0.71,bad
6,9,3.59,0.54,bad
34,61,3.43,0.59,bad
7,11,3.29,0.52,bad
3,11,3.23,0.57,bad
3,9,3.18,0.6,bad
4,8,3.33,0.62,bad
3,10,3.27,0.64,good
7,11,3.29,0.52,bad
3,6,3.27,0.67,bad
7,62,3.62,0.61,bad
26,45,3.38,0.64,bad
32,79,3.3,0.72,bad
38,46,3.38,0.89,bad
10,23,3.24,0.56,bad
32,79,3.3,0.72,bad
38,46,3.38,0.89,bad
26,45,3.38,0.64,bad
14,28,3.18,0.8,bad
53,77,3.47,0.87,good
52,73,3.47,0.9,bad
11,75,3.2,0.59,bad
14,28,3.18,0.8,bad
10,19,3.3,0.73,good
8,25,3.69,0.73,bad
13,38,3.48,0.65,bad
29,66,3.45,0.59,bad
13,38,3.48,0.65,bad
8,25,3.69,0.73,bad
19,72,3.39,0.72,bad
