show_id;type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description;IMDB_titleID;IMDB_rating;IMDB_rating_votes;IMDB_title_name
80178151;TV Show;The Spy;;Sacha Baron Cohen, Noah Emmerich, Hadar Ratzon Rotem, Alexander Siddig, Waleed Zuaiter, Nassim Lyes;France;2019-09-06;2019;TV-MA;1 Season;International TV Shows, TV Dramas, TV Thrillers;In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad.;/title/tt5952634/;7.9;19703; The Spy
80058026;Movie;Hell and Back;Tom Gianas, Ross R. Shuman;Nick Swardson, Mila Kunis, Bob Odenkirk, T.J. Miller, Rob Riggle, Susan Sarandon, Danny McBride, Jennifer Coolidge, John Farley, Maria Bamford;United States;2018-09-06;2015;R;86 min;Action & Adventure, Comedies, Independent Movies;When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld.;/title/tt2141773/;5.4;4533; Hell and Back
70303496;Movie;PK;Rajkumar Hirani;Aamir Khan, Anuskha Sharma, Sanjay Dutt, Saurabh Shukla, Parikshat Sahni, Sushant Singh Rajput, Boman Irani, Rukhsar;India;2018-09-06;2014;TV-14;146 min;Comedies, Dramas, International Movies;Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.;/title/tt2338151/;8.1;146476; PK
80162141;Movie;Hard Tide;Robert Osman, Nathanael Wiseman;Nathanael Wiseman, Mem Ferda, Alexandra Newick, Oliver Stark, Kat Gellin, Andy Lucas, Ralph Brown, Beverly Hills;United Kingdom;2017-09-06;2015;TV-MA;79 min;Dramas, Independent Movies;A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.;/title/tt3116054/;4.7;151; Hard Tide
80095641;Movie;Elstree 1976;Jon Spira;Paul Blake, Jeremy Bulloch, John Chapman, Anthony Forrest, Laurie Goode, Garrick Hagon, Derek Lyons, Angus MacInnes, David Prowse, Pam Rose;United Kingdom;2016-09-06;2015;TV-PG;102 min;Documentaries;"Then and now footage of bit players who appeared in Star Wars"""" tells the story of how the film and its legions of fans changed their lives forever.""""";/title/tt4558042/;5.9;1226; Elstree 1976
81176188;Movie;American Factory: A Conversation with the Obamas;;President Barack Obama, Michelle Obama, Julia Reichert, Steven Bognar;;2019-09-05;2019;TV-G;10 min;Documentaries;Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.;/title/tt10937318/;5.3;69; American Factory: A Conversation with the Obamas
80159880;Movie;ATM;Mez Tharatorn;Chantavit Dhanasevi, Preechaya Pongthananikorn, Chaleumpol Tikumpornteerawong, Thawat Pornrattanaprasert, Sananthachat Thanapatpisal, Pongkool Suebsung, Puttachat Pongsuchat, Gornpop Janjaroen, Yanee Tramoth, Pongsatorn Jongwilak;United States, Canada;2018-09-05;2012;TV-14;122 min;Comedies, International Movies, Romantic Movies;When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.;/title/tt1603257/;4.7;22068; ATM
70062814;Movie;Shutter;Banjong Pisanthanakun, Parkpoom Wongpoom;Ananda Everingham, Natthaweeranuch Thongmee, Achita Sikamana, Unnop Chanpaibool, Titikarn Tongprasearth, Sivagorn Muttamara, Chachchaya Chalemphol, Kachormsak Naruepatr;Thailand;2018-09-05;2004;TV-MA;96 min;Horror Movies, International Movies;After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice.;/title/tt0440803/;7.1;38576; Shutter
80147760;Movie;Carrie Pilby;Susan Johnson;Bel Powley, Nathan Lane, Vanessa Bayer, Gabriel Byrne, Jason Ritter, Colin O'Donoghue, William Moseley, Desmin Borges;United States;2017-09-05;2016;TV-14;98 min;Comedies, Dramas;A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date.;/title/tt2989524/;6.6;5796; Carrie Pilby
80177405;Movie;Marc Maron: Too Real;Lynn Shelton;Marc Maron;United States;2017-09-05;2017;TV-MA;70 min;Stand-Up Comedy;Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world.;/title/tt7335938/;7.1;1322; Marc Maron: Too Real
80113482;TV Show;No Tomorrow;;Joshua Sasse, Tori Anderson, Jonathan Langdon, Sarayu Blue, Jesse Rath, Amy Pietz;United States;2017-09-05;2016;TV-14;1 Season;Romantic TV Shows, TV Comedies, TV Dramas;Her straitjacketed life turned topsy-turvy by hunky Xavier, Evie discovers a new freedom – even though her man just might be an end-of-days crackpot.;/title/tt5595688/;7.2;4511; No Tomorrow
81173255;Movie;The Heretics;Chad Archibald;Nina Kiri, Ry Barrett, Jorja Cadence, Will King, Nina Richmond;Canada;2019-09-04;2017;TV-MA;88 min;Horror Movies;A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.;/title/tt6318848/;4.7;1347; The Heretics
81078908;Movie;The World We Make;Brian Baugh;Caleb Castille, Rose Reid, Kevin Sizemore, Gregory Alan Williams;United States;2019-09-04;2019;PG;108 min;Dramas, Romantic Movies;A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test.;/title/tt7643622/;4.9;367; The World We Make
81155784;Movie;Watchman;A. L. Vijay;G.V. Prakash Kumar, Samyuktha Hegde, Suman, Raj Arjun, Yogi Babu, Munishkanth;India;2019-09-04;2019;TV-14;93 min;Comedies, Dramas, International Movies;Rushing to pay off a loan shark, a young man breaks into a bungalow to steal the cash, unprepared for the dog standing guard – or the trouble inside.;/title/tt9378320/;5.2;202; Watchman
80201906;Movie;Black Panther;Ryan Coogler;Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis, Florence Kasumba, John Kani, David S. Lee, Stan Lee;United States;2018-09-04;2018;PG-13;135 min;Action & Adventure, Sci-Fi & Fantasy;T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.;/title/tt1825683/;7.3;561736; Black Panther
80052612;Movie;Man Up;Ben Palmer;Lake Bell, Simon Pegg, Ophelia Lovibond, Olivia Williams, Rory Kinnear, Henry Lloyd-Hughes, Ken Stott, Sharon Horgan, Harriet Walter, Stephen Campbell Moore, Dean-Charles Chapman, Phoebe Waller-Bridge;United Kingdom, France;2018-09-04;2015;R;88 min;Comedies, International Movies, Romantic Movies;A single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date.;/title/tt3064298/;6.8;46192; Man Up
80113641;TV Show;Frequency;;Peyton List, Riley Smith, Mekhi Phifer, Devin Kelley, Lenny Jacobson, Daniel Bonjour, Anthony Ruivivar;United States;2017-09-04;2016;TV-14;1 Season;Crime TV Shows, TV Dramas, TV Mysteries;A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp.;/title/tt0186151/;7.3;96874; Frequency
81054495;Movie;Mo Gilligan: Momentum;Chris Howe;Mo Gilligan;United Kingdom;2019-09-30;2019;TV-MA;64 min;Stand-Up Comedy;Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club.;/title/tt10847330/;6.2;250; Mo Gilligan: Momentum
80996949;TV Show;Adam Ruins Everything;;Adam Conover, Adam Lustick, Emily Axford;United States;2018-09-30;2018;TV-14;1 Season;TV Comedies;Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.;/title/tt5034326/;8.1;5753; Adam Ruins Everything
80239337;TV Show;Ben 10;;Tara Strong, Montse Hernandez, David Kaye, Roger Craig Smith, Todd Haberkorn, Dwight Schultz, Daryl Sabara;United States;2018-09-30;2016;TV-Y7;1 Season;Kids' TV;Ben can transform into ten types of aliens. He'll try 'em all while adventuring across the country with his cousin Gwen and Grandpa Max.;/title/tt0760437/;7.1;10959; Ben 10
70212504;Movie;Big Miracle;Ken Kwapis;Drew Barrymore, John Krasinski, Kristen Bell, Dermot Mulroney, Tim Blake Nelson, Vinessa Shaw, Ted Danson, Stephen Root, Rob Riggle, Michael Gaston;United States, United Kingdom;2018-09-30;2012;PG;107 min;Children & Family Movies, Dramas;After a reporter writes about whales trapped in the Arctic Circle, the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events.;/title/tt1430615/;6.5;1803; Big Miracle
81011682;TV Show;Christiane Amanpour: Sex & Love Around the World;;;United States;2018-09-30;2018;TV-MA;1 Season;Docuseries;A contextual, acculturated dive into how adults in six, big global cities celebrate love and accentuate sex. CNN's Christiane Amanpour reports.;/title/tt8205180/;7.4;554; Christiane Amanpour: Sex & Love Around the World
80128317;TV Show;The Eighties;;;United States;2018-09-30;2016;TV-PG;1 Season;Docuseries;This nostalgic documentary series relives the 1980s from a variety of angles, exploring its impact on the politics, technology and culture of today.;/title/tt5144776/;8.3;102; The Eighties
81027384;TV Show;The Nineties;;;United States;2018-09-30;2017;TV-14;1 Season;Docuseries;This U.S.-focused series dives into the cultural and political changes that swept the last decade of the 20th century. Executive produced by Tom Hanks.;/title/tt5737432/;8.2;827; The Nineties
80030186;TV Show;The Seventies;;;United States;2018-09-30;2015;TV-PG;1 Season;Docuseries;This series examines 1970s America, focusing on the major political and historical landmarks of the decade and the cultural response to those events.;/title/tt4491456/;8.3;1087; The Seventies
80116921;TV Show;We Bare Bears;;Eric Edelstein, Demetri Martin, Bobby Moynihan;United States;2018-09-30;2017;TV-Y7;1 Season;Kids' TV, TV Comedies;Grizzly, Panda and Ice Bear are three adopted bear brothers struggling against their animal instincts to fit into the civilized, modern human world.;/title/tt4839610/;7.9;974; We Bare Bears
80181555;TV Show;The Royal House of Windsor;;;United Kingdom;2017-09-30;2017;TV-14;1 Season;British TV Shows, Docuseries, International TV Shows;Drawing on newly available info, this show traces how the British royal family has survived the last 100 years of power struggles, politics and more.;/title/tt6596634/;7.5;718; The Royal House of Windsor
80081155;Movie;Amanda Knox;Rod Blackhurst, Brian McGinn;;Denmark, United States;2016-09-30;2016;TV-MA;92 min;Documentaries;She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary.;/title/tt5952332/;6.9;18546; Amanda Knox
80184358;TV Show;Lovesick;;Kongyingyong Chonlathorn, Phumphothingam Nawat, Luangsodsai Anupart, Nuchanart Veerakaarn, Chindavanich Primrose, Charnmanoon Pannin, Nungira Hanwutinanon, Ausavaterakul Ausavapat, Sirikiet Saejea, Nontapan Chuenwarin;;2018-09-03;2014;TV-14;1 Season;International TV Shows, Romantic TV Shows, TV Dramas;Love and academics get complicated at an all-male college that happens to be located next to an all-female high school.;/title/tt4051832/;8.1;13387; Lovesick
80198585;Movie;The Debt Collector;Jesse V. Johnson;Scott Adkins, Louis Mandylor, Vladimir Kulich, Michael Paré, Rachel Brann, Selina Lo, Tony Todd;United Kingdom, United States;2018-09-03;2018;TV-MA;96 min;Action & Adventure;A broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection.;/title/tt7448180/;5.7;3754; The Debt Collector
80128722;Movie;Gerald's Game;Mike Flanagan;Carla Gugino, Bruce Greenwood, Henry Thomas, Carel Struycken, Chiara Aurelia;United States;2017-09-29;2017;TV-MA;103 min;Horror Movies, Thrillers;When her husband's sex game goes wrong, Jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice.;/title/tt3748172/;6.6;7538; Gerald's Game
80104068;Movie;Our Souls at Night;Ritesh Batra;Robert Redford, Jane Fonda, Bruce Dern, Matthias Schoenaerts, Iain Armitage, Judy Greer, Phyllis Somerville;United States;2017-09-29;2017;TV-14;103 min;Dramas, Romantic Movies;After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom.;/title/tt5034266/;6.9;9543; Our Souls at Night
80119349;Movie;Out of Thin Air;Dylan Howitt;;;2017-09-29;2017;TV-14;85 min;Documentaries, International Movies;Picking up 40 years after six were convicted for two strange murders in Iceland, this chilling documentary proves confessions can’t always be trusted.;/title/tt6330514/;6.3;144; Out of Thin Air
80199032;TV Show;Paul Hollywood's Big Continental Road Trip;;Paul Hollywood;United Kingdom;2017-09-29;2017;TV-14;1 Season;British TV Shows, Docuseries, International TV Shows;Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France, Italy and Germany.;/title/tt7936386/;7.6;98; Paul Hollywood's Big Continental Road Trip
80019931;Movie;Monster High: Boo York, Boo York;William Lau;Karen Strassman, Celeste Henderson, Wendee Lee, TJ Smith, America Young, Rachel Staman, Laura Bailey;United States;2015-09-29;2015;TV-Y7;72 min;Children & Family Movies, Music & Musicals;Cleo is invited to a gala in the big city celebrating a magical comet and brings her best friends along. But the sinister Nefera has other plans.;/title/tt4779496/;6.5;507; Monster High: Boo York, Boo York
81053892;Movie;TUNA GIRL;Mana Yasuda;Fuka Koshiba, Tom Fujita, Hidetoshi Hoshida, Hiroto Kanai, Ryosuke Yusa, Shuri Tanaka, Chal Inoue, Takashi Taniguchi, Takeshi Masu;;2019-09-28;2019;TV-PG;90 min;Dramas, International Movies;A clumsy but cheerful fisheries student struggles to find her place at a research institute renowned for its tuna cultivation. The work isn't easy.;/title/tt11057912/;6.8;16; TUNA Girl
81004470;Movie;Animal World;Han Yan;Li Yi Feng, Zhou Dongyu, Michael Douglas, Bingkun Cao, Ge Wang, Keanu Chi, Zhang Jungyi, Yijuan Li, Su Ke;China;2018-09-28;2018;TV-MA;130 min;Action & Adventure, International Movies, Sci-Fi & Fantasy;An unlucky, debt-ridden teen resorts to his math skills when he's forced into a deadly tournament of rock-paper-scissors run by a diabolical host.;/title/tt7946836/;6.5;2958; Animal World
80157072;Movie;Hold the Dark;Jeremy Saulnier;Jeffrey Wright, Alexander Skarsgård, James Badge Dale, Riley Keough, Julian Black Antelope, Tantoo Cardinal, Macon Blair, Jonathan Whitesell, Peter McRobbie;United States;2018-09-28;2018;TV-MA;126 min;Action & Adventure, Dramas;In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery.;/title/tt5057140/;5.6;2971; Hold the Dark
80201933;TV Show;Made in Mexico;;;United States;2018-09-28;2018;TV-MA;1 Season;International TV Shows, Reality TV, Spanish-Language TV Shows;These Mexico City socialites may lead opulent lives, but a peek behind the curtain reveals a tangled web of intrigue, envy and personal struggles.;/title/tt8871764/;4.0;656; Made in Mexico
81002864;Movie;Single;Raditya Dika;Raditya Dika, Annisa Rawles, Chandra Liow, Pandji Pragiwaksono, Babe Cabita, Elvira Devinamira, Tinna Harahap, Pevita Pearce, Rinna Hassim, Dede Yusuf, Dewi Hughes;Indonesia;2018-09-28;2015;TV-PG;127 min;Comedies, International Movies, Romantic Movies;Unemployed and immature, a somewhat pathetic bachelor sets his sights on finding a date for the wedding of his younger, more successful brother.;/title/tt5169582/;6.8;591; Single
81002866;Movie;The Sinking Of Van Der Wijck;Sunil Soraya;Herjunot Ali, Pevita Pearce, Reza Rahadian, Randy Nidji, Gesya Shandy, Kevin Andrean, Arzetti Bilbina;Indonesia;2018-09-28;2013;TV-14;163 min;Dramas, International Movies, Romantic Movies;When a young man leaves home to fulfill the wishes of his late father, he meets and falls in love with a woman from a very different background.;/title/tt3418604/;7.6;973; The Sinking of Van Der Wijck
80126507;Movie;Bobby Sands: 66 Days;Brendan Byrne;;Ireland, United Kingdom;2017-09-28;2016;TV-14;106 min;Documentaries;In 1981, an imprisoned Irish Republican Army soldier went on a hunger strike that galvanized his movement and made him a controversial global icon.;/title/tt5931144/;7.2;499; Bobby Sands: 66 Days
80225885;TV Show;Bard of Blood;;Emraan Hashmi, Viineet Kumar, Sobhita Dhulipala, Jaideep Ahlawat, Kirti Kulhari, Sohum Shah, Rajit Kapoor, Danish Hussain;India;2019-09-27;2019;TV-MA;1 Season;International TV Shows, TV Action & Adventure, TV Dramas;Years after a disastrous job in Balochistan, a former Indian spy must confront his past when he returns to lead an unsanctioned hostage-rescue mission.;/title/tt8069036/;7.4;7406; Bard of Blood
81132443;Movie;Deliha 2;Gupse Özay;Gupse Özay, Eda Ece, Aksel Bonfil, Derya Alabora, Esin Eden, Hülya Duyar, Ali Çelik, Mert Öner;Turkey;2019-09-27;2018;TV-PG;102 min;Comedies, International Movies;While chasing her dream of becoming a chef, Zeliha cooks up trouble in the kitchen with her wild, kooky and unsuspecting ways.;/title/tt7871636/;4.5;1901; Deliha 2
80218107;TV Show;Dragons: Rescue Riders;;Nicolas Cantu, Brennley Brown, Zach Callison, Skai Jackson, Noah Kaye Bentley, Andre Robinson, Marsai Martin;;2019-09-27;2019;TV-Y;1 Season;Kids' TV, TV Comedies;Twins Dak and Leyla and their dragon friends devote their lives to rescuing others, defending their home of Huttsgalor and having fun along the way.;/title/tt10687134/;7.2;85; Dragons: Rescue Riders
80231903;Movie;In the Shadow of the Moon;Jim Mickle;Boyd Holbrook, Michael C. Hall, Cleopatra Coleman, Bokeem Woodbine, Rudi Dharmalingam, Rachel Keller;United States;2019-09-27;2019;TV-MA;116 min;Dramas, Sci-Fi & Fantasy, Thrillers;A Philadelphia detective slowly unravels as he nurses a lifelong obsession with an enigmatic female serial killer whose crimes defy explanation.;/title/tt8110640/;6.2;29101; In the Shadow of the Moon
80220715;TV Show;Skylines;;Edin Hasanovic, Peri Baumeister, Murathan Muslu, Erdal Yıldız, Richy Müller, Anna Herrmann, Sahin Eryilmaz, Lisa Maria Potthoff, Carol Schuler, Dustin Jérôme Schanz, Nimo, Christopher Schärf, Slavko Popadic;;2019-09-27;2019;TV-MA;1 Season;Crime TV Shows, International TV Shows, TV Dramas;A hip-hop producer gets hurled into the violent world of organized crime when the record label he signs to becomes the center of a deadly drug business.;/title/tt9184970/;7.6;1661; Skylines
